index,func,name
COG3397,R,"Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains"
COG0694,O,"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain"
COG3360,R,Flavin-binding protein dodecin
COG1331,R,"Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains"
COG1214,J,tRNA A37 threonylcarbamoyladenosine modification protein TsaB
COG1566,V,Multidrug resistance efflux pump
COG1538,M,Outer membrane protein TolC
COG0845,MV,Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0577,V,"ABC-type antimicrobial peptide transport system, permease component"
COG1136,M,"ABC-type lipoprotein export system, ATPase component"
COG2322,S,"Uncharacterized membrane protein YozB, DUF420 family"
COG1999,O,"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family"
COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
COG0109,HI,Polyprenyltransferase (heme O synthase)
COG0491,R,"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"
COG5652,S,VanZ like family protein (function unknown)
COG0509,E,Glycine cleavage system H protein (lipoate-binding)
COG0632,L,Holliday junction resolvasome RuvABC DNA-binding subunit
COG0563,F,Adenylate kinase or related kinase
COG0281,C,Malic enzyme
COG1600,J,Epoxyqueuosine reductase  QueG (queuosine biosynthesis)
COG0668,M,Small-conductance mechanosensitive channel
COG2124,QV,Cytochrome P450
COG2255,L,"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit"
COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
COG3743,L," Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain"
COG0437,C,Fe-S-cluster-containing dehydrogenase component
COG3474,C,Cytochrome c2
COG0532,J,"Translation initiation factor IF-2, a GTPase"
COG0195,K,"Transcription antitermination factor NusA, contains S1 and KH domains"
COG0779,J,Ribosome maturation factor RimP
COG0589,T,"Nucleotide-binding universal stress protein,  UspA family"
COG1402,HQ, Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
COG4206,H,Outer membrane cobalamin receptor protein
COG1595,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"
COG0318,IQ,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II
COG0726,GM,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family"
COG3118,O,"Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains"
COG1408,R,"Predicted phosphohydrolase, MPP superfamily"
COG0749,L,DNA polymerase I - 3'-5' exonuclease and polymerase domains
COG1680,V,"CubicO group peptidase, beta-lactamase class C family"
COG0102,J,Ribosomal protein L13
COG0103,J,Ribosomal protein S9
COG0052,J,Ribosomal protein S2
COG0264,J,Translation elongation factor EF-Ts
COG0528,F,Uridylate kinase
COG0233,J,Ribosome recycling factor
COG1033,R,"Predicted exporter protein, RND superfamily"
COG0017,J,Aspartyl/asparaginyl-tRNA synthetase
COG0666,T,Ankyrin repeat
COG0753,P,Catalase
COG3279,KT,"DNA-binding response regulator, LytR/AlgR family"
COG3275,T,"Sensor histidine kinase, LytS/YehU family"
COG1629,P,"Outer membrane receptor proteins, mostly Fe transport"
COG1396,K,"Transcriptional regulator, contains XRE-family HTH domain"
COG1842,KT,Phage shock protein A
COG2268,S,"Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain"
COG1196,D,Chromosome segregation ATPase
COG4104,U,"Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion"
COG1846,K,"DNA-binding transcriptional regulator, MarR family"
COG2153,R,"Predicted N-acyltransferase, GNAT family"
COG4585,T,Signal transduction histidine kinase
COG2197,TK,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
COG1508,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog"
COG0848,U,Biopolymer transport protein ExbD
COG0811,U,Biopolymer transport protein ExbB/TolQ
COG0252,JU,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0084,N,Tat protein secretion system quality control protein TatD (DNase activity)
COG4995,S,"Uncharacterized conserved protein, contains CHAT domain"
COG2355,E,"Zn-dependent dipeptidase, microsomal dipeptidase homolog"
COG1670,JO,"Protein N-acetyltransferase, RimJ/RimL family"
COG1305,O,"Transglutaminase-like enzyme, putative cysteine protease"
COG0223,J,Methionyl-tRNA formyltransferase
COG4675,S,Microcystin-dependent protein  (function unknown)
COG4886,K,Leucine-rich repeat (LRR) protein
COG2340,S,"Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain"
COG0022,C,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component"
COG0115,EH,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
