PFAM_ACC,CLAN,CLAN_Name,PFAM_Name,PFAM_desc
PF10417,,,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin
PF00389,CL0325,Form_Glyc_dh,2-Hacid_dh,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF02826,CL0063,NADP_Rossmann,2-Hacid_dh_C,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
PF00198,CL0149,CoA-acyltrans,2-oxoacid_dh,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF16078,,,2-oxogl_dehyd_N,2-oxoglutarate dehydrogenase N-terminus
PF05635,,,23S_rRNA_IVP,23S rRNA-intervening sequence protein
PF03171,CL0029,Cupin,2OG-FeII_Oxy,2OG-Fe(II) oxygenase superfamily
PF13532,CL0029,Cupin,2OG-FeII_Oxy_2,2OG-Fe(II) oxygenase superfamily
PF13640,CL0029,Cupin,2OG-FeII_Oxy_3,2OG-Fe(II) oxygenase superfamily
PF13239,,,2TM,2TM domain
PF06052,CL0029,Cupin,3-HAO,3-hydroxyanthranilic acid dioxygenase
PF01073,CL0063,NADP_Rossmann,3Beta_HSD,3-beta hydroxysteroid dehydrogenase/isomerase family
PF00725,CL0106,6PGD_C,3HCDH,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF02737,CL0063,NADP_Rossmann,3HCDH_N,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
PF03061,CL0050,HotDog,4HBT,Thioesterase superfamily
PF13279,CL0050,HotDog,4HBT_2,Thioesterase-like superfamily
PF01812,CL0246,ISOCOT_Fold,5-FTHF_cyc-lig,5-formyltetrahydrofolate cyclo-ligase family
PF09038,CL0049,Tudor,53-BP1_Tudor,Tumour suppressor p53-binding protein-1 Tudor
PF01367,CL0464,5_3_exonuc_C,5_3_exonuc,"5'-3' exonuclease, C-terminal SAM fold"
PF02739,CL0280,PIN,5_3_exonuc_N,"5'-3' exonuclease, N-terminal resolvase-like domain"
PF02872,,,5_nucleotid_C,"5'-nucleotidase, C-terminal domain"
