,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2
0,GH25,GH25,GH25
1,GH113,GH113,GH113
2,GT83,CBM9,GT83
3,CBM9,CE4,CBM9
4,CE4,GT83,GH15
5,GH74,GH15,CE4
6,GH15,GT20,GT20
7,GT20,GH5_42,CBM50+GH23
8,GH5_42,CBM50+GH73,GH13
9,GT1,GH109,CBM50+GH73
10,GT0+GT4,GH74,GT0+GT4
11,GT0,GH97,GH74
12,CBM50+GH73,GH13,GT26
13,GH109,GT26,GH5_42
14,GT0+GT2+GT4,CBM50+GH23,GH13_20
15,GH97,GT1,GH109
16,CBM50+GH23,GH73,GH30_1
17,GH73,CE8+PL10_1,GT0
18,GH144,GT0+GT4,GH73
19,GH20,GT0+GT2+GT4,GH92
20,GH13_20,GH92,GH20
21,GH30_1,GH20,GT1
22,GT26,GH19,GH97
23,GH30_3,GH30_1,GH19
24,GH92,GT0,GT0+GT2+GT4
25,GH130,GH57,GH42
26,GH13,GT9,GH30_3
27,GH19,GH13_20,GH53
28,GH53,GH13_38,GH13_38
29,CE8+PL10_1,GH2,CE8+PL10_1
30,GT9,GH130,GT9
31,GH23,GH53,GH31
32,GH2,GT30,GH3+3.2.1.21
33,GH13_8,GT35+GT3,GH63
34,GH57,GH13_8,GH130
35,GH16,GH16,GH2
36,GH13_19,GH30_3,GH13_19
37,GH63,GH31,GH13_8
38,GH0,CBM48+GH13_9,CBM48+GH13_9
39,GH114,GH18,GH16
40,GH13_38,GH65,CE1
41,CBM48+GH13_9,GH144,GH0
42,GH31,GH0,GH65
43,GH149,GH13_19,CBM77+PL1
44,GH29,GH1,GH57
45,GT35+GT3,GH149,GH149
46,PL8_3,GH23,GH144
47,GH43_28,PL6_1,GT2_Glyco_tranf_2_3
48,GH133,CE14,GH23
49,GH99,PL7_5,GH13_3
50,CE14,CE1,GT35+GT3
51,GH65,GH63,GH43_28
52,CE1,GH33,GH18
53,GT30,GH114,PL7_5
54,GH17,GH32,GH37
55,CBM77+PL1,GH66,GH99
56,GH32,GH17,CBM47
57,GH37,GH13_7,PL12
58,PL7_5,GH3+3.2.1.21,PL0
59,PL0,GH29,GH17
60,GH33,GH13_3,GH29
61,GH27,GT2_Glyco_tranf_2_3,GT14
62,GT2_Glyco_tranf_2_3,CBM47,GH13_7
63,GH13_3,GH42,GH133
64,GH110,GH43_28,CBM57
65,GT2_Glycos_transf_2+GT2_Glycos_transf_2,GH37,GH104
66,GH13_31,GH163,GH27
67,GH13_7,PL12,CE14
68,GH100,CBM77+PL1,GH1
69,GH18,GH27,GT30
70,CBM5+GH18,GT2_Glycos_transf_2+GT2_Glycos_transf_2,GH163
71,GH3+3.2.1.21,GH133,GH13_31
72,PL6_1,GH13_31,PL6_1
73,GH10,CBM57,GH32
74,CBM32+CBM32,CBM32+CBM32,GH33
75,CBM47,PL8_3,GH100
76,GH163,PL7,PL8_3
77,CBM38+GH32,GT14,GT35
78,GH104,GH99,GH114
79,GH1,CE12,CBM6+GH5_46
80,GH13_18,GH13_18,GT2_Glycos_transf_2+GT2_Glycos_transf_2
81,PL7,AA7,GH5
82,GH42,GH143,GH13_18
83,PL29,PL17_2,PL7
84,AA7,GT32,CBM4
85,CE12,CBM38+GH32,PL17_2
86,GH95,GH95,GH28
87,GT19,GH110,GH105
88,GH5,GH158,AA7
89,GH36,CE11,GH26
90,CE11,GH10,GH95
91,PL17_2,GH26,GH43_18
92,GH26,PL0,GH39
93,GT32,GH8,GH158
94,GH28,GH13_36,GH143
95,GT11,GH105,GH73+CBM50
96,GH88,GT19,GT32
97,GT2+GT4,GH43_12,GH66
98,GH13_36,CE2,GH9
99,PL12,GH78,CE12
100,GT14,GH127,CBM32+GH2
101,GH8,CBM5+GH18,GH10
102,GH125,CBM6+GH5_46,GT19
103,GH3,CBM6+GH81,CE4+GH18+GT2
104,GH158,GH100,GH8
105,CE15,PL1_2,GT11
106,GH5_2,CBM57+GH2,PL1_2
107,GH105,GT28,GH35
108,CBM6+GH5_46,GH88,GH13_36
109,GH142,GH43_4,CBM57+GH2
110,CBM32+GH2,GT35,GH78
111,GH66,GH39,GH137
112,GT51,GH137,CE11
113,GH78,GH3,GH43_12
114,GH73+CBM50,GH28,GH5_2
115,GH43_1,GH43_10,GH127
116,GH39,CBM4,CBM38+GH32
117,CE10,GH43_26,GH43_10
118,GH128,GH5_7,GH88
119,CBM57+GH2,GH5_2,GH13_4
120,GH13_4,GH115,GH138
121,PL1_2,CE8,CBM5+GH18
122,GT28,CBM73,GH110
123,GT35,GH106,CBM6+GH81
124,GH5_4,GH13_4,GT27
125,GH115,CE15,CE9
126,PL1,PL1,GH5_7
127,GH127,GH138,GH119
128,GH35,GH125,GT28
129,GH43_10,GH51,GH142
130,CBM4,GT2+GT9,GH147
131,CBM67+GH78,GH119,CBM32+CBM32
132,CBM5+GH19,GH67,GH5_4
133,CBM57,GH36,CE2
134,GT2+GT9,GH5_4,GH5_5
135,GH143,GH9,GT2+GT9
136,CE2,PL29,CE15
137,CE6,GT11,CBM67+GH78
138,GH5_13,GH117,CE6
139,GT2_Glycos_transf_2+GT2_Glyco_trans_2_3,CBM48+GH13,GH43_1
140,GH6,GH16+3.2.1.39,PL1
141,GH106,GH43_1,GH43_29
142,GH5_46,CBM32+GH2,GH43_26
143,GH117,GH5_13,GT2+GT4
144,GT27,GH139,GH125
145,GH43_24,GH142,CBM73
146,GH55,CE9,GH128
147,GH43_26,GH104,GH115
148,CE9,GH10+3.2.1.8,GH5_13
149,GH51,GH6,GH36
150,CBM48+GH13,GH43_29,GH43_24
151,GH137,GH128,GH51
152,GH43_18,GT27,GH67
153,GH5_7,GT5,CE10
154,GH43_34,GH5_48,PL29
155,GH43_29,GH35,GH43_9
156,CBM6+GH81,CBM4+GH10,GH117
157,PL9_2,CE10,GH106
158,GT5,GH123,CE8
159,GH9,GH43_9,GH123
160,CBM6+GH18,GH146,GH5_46
161,GH5_5,CBM32+GH43_28,GT5
162,GH43_12,GH5_5,GH146
163,GH16+3.2.1.39,GH38,CBM13
164,CBM32+GH43_28,GH50,CBM16+GH29
165,GH43_4,GH43_19+GH43_34,GH154
166,CBM6,GH43_34,CBM48+GH13
167,GH147,GH13_1,GT2_Glycos_transf_2+GT2_Glyco_trans_2_3
168,GH67,CE6,CBM6
169,GH136,GH147,GH141
170,GH43_2,GH43_5,GH6
171,GH141,GH43,GH43_5
172,PL37,GH31+3.2.1.11+2.4.1.-,GH43_19+GH43_34
173,GH123,CE8+PL1_2,GH3
174,CBM13,PL6,GH136
175,GH43_33,GH43_24,GH139
176,GH13_1,GH30_4,CBM5+GH19
177,PL12_2,GH18+3.2.1.14,CBM4+GH10
178,GH138,CE4+GH18+GT2,GH140
179,CBM13+CBM6+GH64,GH24,GH43_4
180,CBM16+GH29,GH140,CBM6+GH128
181,PL6,GH43_18,CBM6+GH16
182,GH43_9,CBM32,GH43_34
183,GH13_2,GH154,PL9_1
184,PL6_1+4.2.2.11+4.2.2.-,CBM67+GH78,GH2+GH53
185,CE8,GH84,CE8+PL1_2
186,CBM42+GH16,GH43_31,GH89
187,CBM32,GT10,CBM13+CBM6
188,GH5_48,PL37,GH18+3.2.1.14
189,GH119,PL9_2,PL9_2
190,CBM51+CE0+GH27,CBM47+CBM47,CBM42+GH16
191,CBM4+GH10,GT51,GH10+3.2.1.8
192,CBM32+GH16+3.2.1.39,GH141,CBM32+GH43_28
193,GH89,PL9_1,CBM0
194,CBM35+GH2,PL11_1,GH30_4
195,GH30_4,PL8_2,CBM6+GH43_2
