,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2
GT2_Glycos_transf_2,0.0005567782033164741,0.0003072712933480085,0.0005007535473329677
GT9,0.00704728767238643,0.0076191378756063355,0.007393126247343713
GT4,0.0004890872980676039,0.0004660357385084462,0.00016287209180870048
GT5,0.0014426098877154312,0.0015901423625858493,0.0014797512456136966
GT25,0.0007703258068325553,0.0006819257941066664,0.0005804995629341152
GH30_1,0.008353874604911986,0.007916326503189576,0.00980533254061748
GH3,0.002511340932590965,0.002131441684528108,0.0012724687822783225
GH144,0.009201810875504167,0.006032180506270402,0.00553553938283022
GT51,0.0022520544419306677,0.0011001312693183624,0.0007222708293078664
GH25,0.07085856747002633,0.06935512765133373,0.0703599431874953
CBM50+GH73,0.011005129211096589,0.012163535710743707,0.011962297251053237
CBM32+GH2,0.0023435301015817794,0.0017530691766927183,0.002513233191952639
GH2,0.0068821284194326695,0.007420596271940384,0.006482968154668162
GH109,0.010997172320610118,0.012115823463505575,0.009824250453021766
GT19,0.003075290019993033,0.002585928339167905,0.002475284736238871
GT83,0.02594231438174945,0.02065028050004235,0.027633388458901814
CE11,0.003045333180419973,0.002887110258739667,0.002382282712645098
GH13,0.007410363511272699,0.011676849740212224,0.01196610244533479
GH65,0.005405898859228386,0.0060417834613877616,0.005834392324666633
GH97,0.010321980126762364,0.011814648942664879,0.008674332023506579
GH13_19,0.006224974204883687,0.005835503721006704,0.00627479770811353
GT2,0.0006159883177202721,0.00035980094977431656,0.000711577070073138
CE14,0.005432060607963564,0.005539824993792195,0.004146464322829973
GH92,0.007907696898066289,0.00868476693742588,0.009424387902177636
GT28,0.0020975517264021355,0.002276370244654394,0.0020685078862721254
GT30,0.005245201116174842,0.007093502524948347,0.003944741072923236
GH29,0.0058941741848832,0.004790675662794705,0.0046834120143043135
GH95,0.0031298868483430474,0.003036290820456781,0.0027930225409591412
GH110,0.00429396443920277,0.002986917178414493,0.0021807972883628912
GH23,0.006971783369579711,0.0055953932119145585,0.005238461629911518
GH30_3,0.007972874148385167,0.006362516627929771,0.008114210607095258
GH123,0.0012286251357465157,0.0015521994966944325,0.001556735047192636
CBM50+GH23,0.009709745242848147,0.011121546125382272,0.011992633303242463
GH20,0.0090486985364193,0.008326139136883706,0.009378465317852297
GH84,0.000860256941830053,0.001150555492395589,0.0008847143255764268
GH0,0.00605126621853432,0.005919131081011137,0.00586421713606565
GH31,0.00594136060457305,0.006145879058473577,0.0073519614177543
GH130,0.007734097210907408,0.007319629404152134,0.006884422551382911
CBM9,0.021149022790943633,0.02131653117387138,0.019953020256485706
GH13_38,0.005994002433131442,0.0074412080843080175,0.007632949319848245
GH13_7,0.003960313600339173,0.00502798216395838,0.004524871589939203
GH13_20,0.008940005288999919,0.007570553098722355,0.010462606877239596
GT35+GT3,0.005848918168440114,0.0070215478637781145,0.00518403581828682
GH57,0.006550384598524898,0.007767719725211472,0.005793818214977721
GH133,0.005715493404853176,0.003949134324464218,0.004459802182787732
GH13_8,0.006724872894452116,0.006669101624668991,0.0062140118636202476
GH33,0.004521804326830466,0.0052116959425749995,0.0035719401257338114
CE4,0.018817923632254988,0.020795244069697672,0.017041279022199107
GH73,0.009496433440573375,0.009866847879438716,0.00952093565082541
GH16,0.0064718435540883305,0.006552353188245946,0.006136741225624297
GH19,0.007391890477183438,0.00801414099197369,0.008581544992725575
GT0,0.011431009102491226,0.00787484504682509,0.009800719091353906
CBM48+GH13_9,0.005978316902904587,0.006130575318026899,0.0061564574853523076
PL12,0.002588186911327379,0.004077875857547121,0.004808259715789947
GH37,0.004895831200998039,0.004290976951679022,0.004888164105277301
GH32,0.005106904905551969,0.005112272718437688,0.003619831011616103
CBM6+GH5_46,0.0024382222750132503,0.0024504846634218636,0.003432321076026993
PL7_5,0.004838863924567952,0.005511835626362558,0.0049244077316543435
PL7,0.0033758998642344582,0.003643387220976532,0.003128392627372723
PL6_1,0.00381024588912015,0.005566369278412715,0.003640308938341999
CBM6+GH81,0.0014552377878791363,0.002425054306849418,0.002171350593332449
GH113,0.03428893030307468,0.029925646558596006,0.034464765044481975
GH63,0.0062140329401917166,0.005262426948850165,0.006976836548622941
GH5_42,0.012902865819872772,0.012726703922178107,0.010825229241499383
GT0+GT4,0.011526279411119288,0.009046701805753293,0.011706879278346793
GT32,0.0027871695819407286,0.0030951810669948756,0.0026527574128255415
PL17_2,0.002908934875059155,0.0031191899550210233,0.003042463477240414
GH8,0.0025359878526574745,0.0026653594900296123,0.002456782529336265
CBM6+PL7_5,0.00023575095430699284,0.00037663568446675704,0.00033550038526290987
GH5_2+PL0,0.0008654729766507314,0.0006903218157981513,0.00022330806876805223
GH9,0.0014219558887045257,0.0018409866551396018,0.00255462726766623
GT1,0.011742379554146304,0.010536715313724,0.008929492362475214
GH3+3.2.1.21,0.003826952727970014,0.004850841196171176,0.00732938639294365
GH141+GH141,0.0003518052068012062,0.00037167665124147425,4.485486476066944e-05
PL1_2,0.0021043581879282057,0.002355988172020081,0.002446647589740989
GH89,0.0010088543392607694,0.000906524002130222,0.0010806955871364094
CBM32,0.0010728577171617007,0.0012009743619130725,0.0008318234697321387
PL8_3,0.005819552345612506,0.0036793372804298126,0.0034778092127217878
CE4+GH9,0.00029978411823231526,0.00030113332538255584,0.0001632496122423646
GH43_34,0.0015014800675746463,0.0013949020520970465,0.0011170765888288841
GT2_Glyco_tranf_2_3,0.004407138312838498,0.004712082625155128,0.005502258839374926
GH15,0.01488513579578545,0.016883977248394452,0.017259790049600883
GT20,0.013672525303239572,0.012983214439236248,0.012703935740519959
GH105,0.0024522800104882616,0.002598271116781954,0.0029470424590663457
GH88,0.0027068379331558648,0.0022509493368988013,0.00232114678996203
CE1,0.005261445926253559,0.005485072545849856,0.006114091847485372
GH117+GH29,0.0004958508763111741,0.0005831179788121766,0.000391607194091981
GH141,0.0012523827669794637,0.001067523711083722,0.001328031510335376
CE15,0.0025003529072037886,0.0019980762970352073,0.001959101051263392
CBM0,0.0006736432598489791,0.0007285931082998286,0.0010124126113735294
GH18,0.003913362938511594,0.006053069732563107,0.005103362141653544
GH117,0.0016868950226973738,0.0018209198316545667,0.001668741377573745
GH27+CBM13+CBM35,0.0006144609109109956,0.0006421009313347484,0.0004227989860441878
CBM47,0.0036282420598304625,0.004476473939656065,0.0048123496456867155
CBM51,0.0004956403935136488,0.0007819480038825162,0.00039655507381909096
GH13_3,0.004325654374590693,0.004730186278287708,0.005185439314653176
GH51,0.0015739429237493303,0.0019259403926200202,0.0016862744787607474
GH10,0.003707812388514381,0.0028517614979790924,0.002493265349606873
GH67,0.001285556760700454,0.0018846154298118468,0.001683204729395815
GH115,0.002010825395594591,0.0020257671922378024,0.0017504207506026878
GH43_1,0.002181955631155336,0.001770217722492293,0.0018993319876419476
GH30_8,9.153519146957812e-05,0.0003335629123377637,0.0003705749926483054
CE1+CE6,0.0005983838311654676,0.0006670632977836695,0.0008376463817845699
GH43_12,0.00137411657871676,0.002527869086652955,0.002375244109898779
CBM6+GH43_2,0.0008543993695629273,0.0009873010815319534,0.0009359297142108878
CBM6+GH43_29,0.0005833476521787753,0.0006330895021403777,0.0008564414504342334
GH146,0.0008958024661601071,0.0015057530797894225,0.0014100639944943777
GH43_10,0.0019935979106967734,0.002097319108117975,0.0023218704276178324
CBM48+GH13,0.0015581291159025405,0.0017878721418448772,0.0013664884882598081
GT26,0.00833083635018773,0.011483730312919332,0.011219670132869867
PL9_1,0.0008880343132100247,0.0010596239283025234,0.0011124546598149183
CE8+PL1_2,0.0008240293064766994,0.0013092762841748478,0.0011036631403102486
PL1,0.0019994823475221017,0.001982134055218069,0.0018221626965223634
CE8,0.0010889742435729623,0.0020142701429398733,0.0015812958171370522
CBM77+PL1,0.005162265589430009,0.004030468477771971,0.005834143499422325
GH28,0.002728606159772205,0.0021002394825682556,0.002974876262424758
CE8+PL10_1,0.0071578953720552625,0.009164137077257741,0.007614686510060809
CE12,0.0031933624164047943,0.0033843536446535537,0.0025406686740011334
GH53,0.00734882305378551,0.007212028824127838,0.008079484145610046
GH5_26,0.0006744085926917246,0.0007329709068361567,0.000607268508693448
CE2,0.001779011998902686,0.002496450022336345,0.002033229177672966
GH5_7,0.0015132820469104468,0.0020413732975956512,0.0020977364328017833
GH26,0.0028718821828063487,0.002783865399067103,0.0029075909071111026
GH27,0.004450283357644926,0.004023516507287637,0.00419165049071995
CBM57+GH2,0.0021357262696020144,0.0023521252965123503,0.002403994317964406
GH43_28,0.005715564375951658,0.004348137231524989,0.005131048528546803
GH149,0.005940304476777983,0.005744618792218384,0.005743489951108643
GH17,0.005208731718817032,0.005036658478510889,0.004712590169023559
CE9,0.0015830022503547315,0.0016938789977890096,0.0021119295956921955
CE15+CE15,0.0,0.0,0.0
GH27+CBM13,0.0,0.0,0.0
GH39,0.002170016762403308,0.0021366435554680792,0.002759134938246793
GH5_4,0.0020747331024254553,0.0018435990395374998,0.002043626287728943
GH43_9,0.0011436676761902458,0.0015227997310285047,0.0016722547912269815
GH127,0.001994941039554389,0.0024854586099620005,0.0023610192063135593
GH43_5,0.0008322712475908925,0.001338222000953653,0.0013044555898486536
GH43_29,0.0014571340119084062,0.0016369235273980454,0.0018156436231283523
GH43_4,0.0013190624276016678,0.0022433750741059867,0.0012139502736771947
GH43_24,0.0016833665959388908,0.0012861623565898193,0.0016918429613470046
GH43_18,0.0015219881894077115,0.0012043428032539254,0.00278675458831369
CE4+GH18+GT2,0.000660389328174295,0.0012152373617280092,0.0024708863209631803
CBM35+GH0,0.0003997526575825057,0.0007352686675262809,0.0008315129770398466
PL0,0.0048191012299467,0.0027098094117102307,0.004759858836107138
GH76,0.0006272559856866087,0.0007041313588259787,0.0008569116683936457
PL12_2,0.0011883683998160674,0.0010258809102776797,0.000601306788029361
PL15,0.0003194320611583559,0.0005081812019802887,0.0005884439765626452
GH43_31,0.0007032022065451306,0.0011458535599235082,0.0007390686243747576
GH43_26,0.0016540439639215064,0.0020550650733509577,0.001815339344000526
GH5_13,0.0017383552714035741,0.0017526865892961677,0.001729415070108695
