Dataset,Class,Unnamed: 2,Beginning,After pre-processing,CfsSubsetEval,InfoGainAttributeEval,Parameter selection,Parameters,Evaluation,Training cross-validation,Test,Selected attributes
,,Nr Instances,,,,,Best threshold,,F-measure,,,
,,Nr Attributes,,,,,Best nr features,,Accuracy,,,
Caz_merops_counts,Genus,,2680.0,2359.0,2359.0,2359.0,,0.0,,0.8279060142461274,,"['GH23', 'CBM20', 'CBM48', 'CBM50', 'MER0492485', 'MER0034615', 'GT0', 'MER0073084', 'GH13_9', 'GT2', 'MER0025086', 'MER0003338', 'CBM6', 'MER0027775', 'CBM32', 'GT4', 'CBM13', 'MER0003339', 'MER0039993', 'MER0015424', 'MER0002959', 'MER0015472', 'GH73', 'MER0000474', 'MER0001400', 'CBM35', 'MER0001602', 'MER0028047', 'MER0014418', 'MER0003850', 'MER0015473', 'MER0100667', 'MER0016067', 'MER0014188', 'MER0036308', 'MER0004035', 'MER0044622', 'MER0000472', 'MER0042387', 'MER0491616', 'MER0002635', 'MER0004923', 'MER0011748', 'MER0031614', 'MER0013458', 'MER0011700', 'MER0001283', 'MER0015458', 'MER0002089', 'GT9', 'PL1_2', 'GH117', '4.2.2.11', 'Genus_merged_infrequent_values']"
Caz_merops_counts,Genus,,1371.0,1367.0,54.0,54.0,,1,,83.45864661654136,86.9215291750503,
Caz_merops_PA,Genus,,2680.0,2359.0,2359.0,2359.0,,0.0,,0.8416511555780763,,"['GH23', 'GH77', 'CBM20', 'GT0', 'GH13_9', 'CBM48', 'MER0027775', 'GT2', 'GH18', 'MER0034615', 'MER0003339', 'GH73', 'MER0073084', 'MER0059846', 'MER0034582', 'MER0095620', 'MER0025086', 'MER0001602', 'CBM32', 'GT4', 'MER0005196', 'MER0028047', 'MER0003338', 'CBM13', 'CBM6', 'CBM35', 'MER0003850', 'MER0016067', 'MER0001400', 'MER0015424', 'MER0002007', 'MER0013623', 'MER0015472', 'MER0004035', 'MER0048181', 'MER0044622', 'MER0000472', 'MER0002755', 'MER0014418', 'MER0057728', 'MER0015166', 'MER0015473', 'MER0036053', 'MER0036308', 'MER0014188', 'MER0036114', 'GH13', 'CBM5', 'MER0491616', 'MER0002601', 'MER0036115', 'MER0001236', 'MER0011748', 'MER0004923', 'MER0031614', 'MER0035017', 'MER0004321', 'MER0001350', 'MER0013458', 'MER0035036', 'MER0011700', 'MER0004468', 'MER0019280', 'MER0001283', 'MER0001313', 'GH43_29', 'MER0013829', 'MER0015458', 'GT2_Glycos_transf_2', 'GH78', 'MER0036072', 'MER0043394', 'MER0005300', 'CBM38', 'Genus_merged_infrequent_values']"
Caz_merops_PA,Genus,,1371.0,1367.0,75.0,75.0,,5,,84.42534908700323,87.32394366197182,
Pfam_abund_wt_metadata,Genus,,2680.0,2359.0,2359.0,2359.0,,0.0,,0.9636273425274984,0.9819568943780136,"['PF11751.9', 'PF10459.10', 'PF18939.1', 'PF02113.16', 'PF03553.15', 'PF00582.27', 'PF00654.21', 'PF00180.21', 'PF14060.7', 'PF14542.7', 'PF00474.18', 'PF09697.11', 'PF01112.19', 'PF01026.22', 'PF13621.7', 'PF03741.17', 'PF02563.17', 'PF12698.8', 'PF14376.7', 'PF01663.23', 'PF01062.22', 'PF01408.23', 'PF02457.17', 'PF13583.7', 'PF14134.7', 'PF01522.22', 'PF00528.23', 'PF13239.7', 'PF00916.21', 'PF00728.23', 'PF02777.19', 'PF18962.1', 'PF01641.19', 'PF01037.22', 'PF13279.7', 'PF00899.22', 'PF13412.7', 'PF13280.7', 'PF16313.6', 'PF00266.20', 'PF02627.21', 'PF02254.19', 'PF10988.9', 'PF03441.15', 'PF01235.18', 'PF01053.21', 'PF03767.15', 'PF04116.14', 'PF00912.23', 'PF05525.14', 'PF03062.20', 'PF01553.22', 'PF17899.2', 'PF00487.25', 'PF07676.13', 'PF07690.17', 'PF00313.23', 'PF02082.21', 'PF00939.20', 'PF04231.14', 'PF13585.7', 'PF07995.12', 'PF01699.25', 'PF13354.7', 'PF05099.14', 'PF13090.7', 'PF03938.15', 'PF00722.22', 'PF03358.16', 'PF00296.21', 'PF02469.23', 'PF15902.6', 'PF02737.19', 'PF08239.12', 'PF13623.7', 'PF00108.24', 'PF00730.26', 'PF11396.9', 'PF00027.30', 'PF03600.17', 'PF02397.17', 'PF00857.21', 'PF01435.19', 'PF12833.8', 'PF00082.23', 'PF05163.13', 'PF00206.21', 'PF14054.7', 'PF00210.25', 'PF07786.13', 'PF00034.22', 'PF05572.14', 'PF00691.21', 'PF01244.22', 'PF03150.15', 'PF00072.25', 'PF10677.10', 'PF12771.8', 'PF13377.7', 'PF05193.22', 'PF04536.15', 'PF00282.20', 'PF02525.18', 'PF13715.7', 'PF12804.8', 'PF04389.18', 'PF00288.27', 'PF04542.15', 'PF01804.19', 'PF00109.27', 'PF00550.26', 'PF12412.9', 'PF13302.8', 'PF07610.12', 'PF00128.25', 'PF01925.20', 'PF05090.15', 'PF00999.22', 'PF00924.19', 'PF01272.20', 'PF13520.7', 'PF07730.14', 'PF01734.23', 'PF00884.24', 'PF04909.15', 'PF01636.24', 'PF03965.17', 'PF01494.20', 'PF10282.10', 'PF01814.24', 'PF01467.27', 'PF06271.13', 'PF13648.7', 'PF06439.12', 'PF00724.21', 'PF02518.27', 'PF03190.16', 'PF00849.23', 'PF12704.8', 'PF13517.7', 'PF08447.13', 'PF04717.13', 'PF00496.23', 'PF04784.15', 'PF03461.16', 'PF12080.9', 'PF13366.7', 'PF00326.22', 'PF02472.17', 'PF01261.25', 'PF11827.9', 'PF01266.25', 'PF01068.22', 'PF07883.12', 'PF03929.17', 'PF00593.25', 'PF00881.25', 'PF04264.14', 'PF00403.27', 'PF01551.23', 'PF00795.23', 'PF01757.23', 'PF09837.10', 'PF07661.14', 'PF13855.7', 'PF00588.20', 'PF13376.7', 'PF17070.6', 'PF07980.12', 'PF00196.20', 'PF06452.12', 'PF13091.7', 'PF01965.25', 'PF00144.25', 'PF08327.12', 'PF07969.12', 'PF04505.13', 'PF00903.26', 'PF07859.14', 'PF13620.7', 'PF00041.22', 'PF00877.20', 'PF04397.16', 'PF01475.20', 'PF01546.29', 'PF13573.7', 'PF00378.21', 'PF03544.15', 'PF01168.21', 'PF00491.22', 'PF00122.21', 'PF16576.6', 'PF03571.16', 'PF00011.22', 'PF14905.7', 'PF00294.25', 'PF14903.7', 'PF00696.29', 'PF02129.19', 'PF01433.21', 'PF00117.29', 'PF02836.18', 'PF00535.27', 'PF14559.7', 'PF09423.11', 'PF12146.9', 'PF02826.20', 'PF17517.3', 'PF02128.16', 'PF00127.21', 'PF08818.12', 'PF13460.7', 'PF00083.25', 'PF00171.23', 'PF13568.7', 'PF19081.1', 'PF13899.7', 'PF04545.17', 'PF09537.11', 'PF02566.20', 'PF07578.12', 'PF07264.12', 'PF12850.8', 'PF07494.12', 'PF13385.7', 'PF01268.20', 'PF00590.21', 'PF02028.18', 'PF07876.13', 'PF13419.7', 'PF08450.13', 'PF00892.21', 'PF00534.21', 'PF13618.7', 'PF01679.18', 'PF08238.13', 'PF00293.29', 'PF13421.7', 'PF19089.1', 'PF13640.7', 'PF13905.7', 'PF00932.20', 'PF05573.13', 'PF00488.22', 'PF12867.8', 'PF01047.23', 'PF08281.13', 'PF13646.7', 'PF07715.16', 'PF04193.15', 'PF00483.24', 'PF00155.22', 'PF00115.21', 'PF13472.7', 'PF03572.19', 'PF00704.29', 'PF13505.7', 'PF16363.6', 'PF00202.22', 'PF00270.30', 'PF02955.17', 'PF13673.8', 'PF13088.7', 'PF15418.7', 'PF00441.25', 'PF00291.26', 'PF05016.16', 'PF00440.24', 'PF07992.15', 'PF02635.16', 'PF00501.29', 'PF13622.7', 'PF13561.7', 'PF12844.8', 'PF00929.25', 'PF05552.13', 'PF00149.29', 'PF03061.23', 'PF00581.21', 'PF00578.22', 'PF18291.2', 'PF00756.21', 'PF07993.13', 'PF05635.12', 'PF13630.7', 'PF01943.18', 'PF17131.5', 'PF11026.9', 'PF07681.13', 'PF00158.27', 'PF03372.24', 'PF05593.15', 'PF13480.8', 'PF03102.15', 'PF05656.15', 'PF00444.19', 'PF13414.7', 'PF04012.13', 'PF03083.17', 'PF02517.17', 'PF02412.19', 'PF03703.15', 'PF07568.13', 'PF11042.9', 'PF07063.14', 'PF12669.8', 'PF08534.11', 'PF12706.8', 'PF11412.9', 'PF16584.6', 'PF00561.21', 'PF12388.9', 'PF08241.13', 'PF04230.14', 'PF01569.22', 'PF02586.15', 'PF00532.22', 'PF03382.15', 'PF00332.19', 'PF12650.8', 'PF01436.22', 'PF09722.11', 'PF13349.7', 'PF03713.14', 'PF00085.21', 'PF14343.7', 'PF01370.22', 'PF01899.17', 'PF06037.12', 'PF02494.17', 'PF13515.7', 'PF00656.23', 'PF13396.7', 'PF09835.10', 'PF06841.13', 'PF02086.16', 'PF08757.12', 'PF01541.25', 'PF07804.13', 'PF02775.22', 'PF01381.23', 'PF13469.7', 'PF09529.11', 'PF00497.21', 'PF05257.17', 'PF14026.7', 'PF07745.14', 'PF01345.19', 'PF02661.19', 'PF09357.11', 'PF17963.2', 'PF13470.7', 'PF02690.16', 'PF16411.6', 'PF02371.17', 'PF04464.15', 'PF00132.25', 'PF07719.18', 'PF03422.16', 'PF00989.26', 'PF01156.20', 'PF00239.22', 'PF01924.17', 'PF15632.7', 'PF03235.15', 'PF16323.6', 'PF14281.7', 'Genus_merged_infrequent_values']"
Pfam_abund_wt_metadata,Genus,,9035.0,9031.0,368.0,368.0,,11.0,,96.7239527389903,98.39034205231388,
,,,,,,,,,,,,
,,,,,,,,,,,,
