,PF02559.17,PF14526.7,PF00199.20,PF06628.13,PF01545.22,PF01693.17,PF01656.24,PF02570.16,PF01888.18,PF01890.17,PF11761.9,PF11760.9,PF02571.15,PF06180.12,PF01903.18,PF06452.12,PF16011.6,PF02922.19,PF02839.15,PF14600.7,PF03422.16,PF06564.13,PF00571.29,PF02754.17,PF03150.15,PF01066.22,PF00150.19,PF16036.6,PF02797.16,PF00195.20,PF05257.17,PF03924.14,PF12770.8,PF13290.7,PF01339.18,PF01739.19,PF03705.16,PF03142.16,PF13541.7,PF12740.8,PF02962.16,PF01633.21,PF14592.7,PF00425.19,PF01264.22,PF13585.7,PF02464.18,PF18146.2,PF03600.17,PF00285.22,PF10431.10,PF02617.18,PF02861.21,PF00574.24,PF02353.21,PF02627.21,PF01817.22,PF00027.30,PF00795.23,PF08695.11,PF01121.21,PF02629.20,PF13380.7,PF13727.7,PF01144.24,PF03186.14,PF02514.17,PF02654.16,PF02283.17,PF02492.20,PF07683.15,PF01923.19,PF00135.29,PF02674.17,PF01391.19,PF07484.13,PF03772.17,PF00668.21,PF03601.15,PF03602.16,PF15976.6,PF00127.21,PF01218.19,PF05019.14,PF03471.18,PF13657.7,PF00115.21,PF02628.16,PF00116.21,PF02790.16,PF00510.19,PF03626.15,PF02517.17,PF06206.12,PF00166.22,PF00118.25,PF02786.18,PF02787.20,PF00988.23,PF02537.16,PF02633.15,PF06123.13,PF00325.21,PF00313.23,PF17876.2,PF10627.10,PF10614.10,PF03783.15,PF06418.15,PF01148.21,PF02348.20,PF01467.27,PF02626.16,PF02682.17,PF07883.12,PF05899.13,PF06172.12,PF13621.7,PF13473.7,PF07012.13,PF17783.2,PF03692.16,PF04199.14,PF01053.21,PF01928.22,PF02224.19,PF13189.7,PF14522.7,PF13442.7,PF00034.22,PF14537.7,PF02335.16,PF02085.17,PF01578.21,PF03264.15,PF01654.18,PF02322.16,PF02457.17,PF01219.20,PF00793.21,PF07478.14,PF01820.22,PF05746.16,PF09190.12,PF01266.25,PF05173.15,PF01113.21,PF01678.20,PF02277.18,PF03880.16,PF05258.13,PF00383.24,PF08211.13,PF11969.9,PF06808.13,PF03480.14,PF04290.13,PF01609.22,PF13612.7,PF13751.7,PF13610.7,PF03050.15,PF01610.18,PF00270.30,PF01548.18,PF01041.18,PF04127.16,PF00926.20,PF00701.23,PF00186.20,PF01368.21,PF02272.20,PF06537.12,PF01180.22,PF01220.20,PF01761.21,PF05163.13,PF12867.8,PF00775.22,PF14226.7,PF06491.12,PF05141.13,PF04977.16,PF01965.25,PF13644.7,PF01738.19,PF00885.20,PF04657.14,PF11638.9,PF00772.22,PF10410.10,PF03796.16,PF00226.32,PF01556.19,PF00684.20,PF08713.12,PF01035.21,PF03989.14,PF00204.26,PF00986.22,PF01653.19,PF03120.17,PF03119.17,PF00145.18,PF01119.20,PF00875.19,PF07733.13,PF00712.20,PF02767.17,PF02768.16,PF06144.14,PF13177.7,PF17657.2,PF12169.9,PF00476.21,PF01612.21,PF10108.10,PF02481.16,PF00521.21,PF01712.20,PF07311.13,PF07681.13,PF13564.7,PF00930.22,PF17782.2,PF02635.16,PF07085.13,PF11412.9,PF02683.16,PF00035.27,PF00908.18,PF06245.12,PF06267.13,PF01345.19,PF06764.12,PF06940.12,PF07044.12,PF07063.14,PF07075.12,PF07099.12,PF07308.14,PF07313.13,PF02576.18,PF07394.13,PF07411.13,PF17384.3,PF02577.15,PF07606.12,PF07609.12,PF07610.12,PF07659.12,PF07786.13,PF07920.12,PF08331.11,PF08338.12,PF08340.12,PF08592.12,PF08643.11,PF02622.16,PF08811.12,PF08818.12,PF08907.12,PF08940.12,PF02643.16,PF09154.11,PF09413.11,PF09430.11,PF09630.11,PF09834.10,PF09835.10,PF09837.10,PF09848.10,PF01595.21,PF09891.10,PF09917.10,PF02698.18,PF09949.10,PF09966.10,PF09994.10,PF10021.10,PF10029.10,PF10067.10,PF10084.10,PF10101.10,PF10106.10,PF09722.11,PF09674.11,PF09601.11,PF09365.11,PF10652.10,PF10677.10,PF10728.10,PF03235.15,PF10851.9,PF11026.9,PF11028.9,PF11042.9,PF11387.9,PF10977.9,PF10988.9
0,1,2,0,0,0,1,7,1,1,1,1,1,1,1,1,2,0,2,0,0,8,1,11,1,6,1,6,4,1,1,2,0,10,3,0,0,0,1,3,3,0,0,4,3,1,13,1,1,3,1,4,1,2,2,4,6,1,23,3,2,2,1,2,3,2,1,1,1,1,5,2,2,1,1,1,1,1,12,0,3,0,1,1,1,2,1,2,1,1,1,2,1,10,1,1,1,5,1,1,1,0,1,2,4,1,1,1,1,1,1,3,3,1,1,9,0,1,2,1,2,1,1,1,13,1,2,2,3,6,10,3,0,1,2,0,1,1,1,1,2,6,1,1,1,28,1,2,2,1,2,1,4,1,1,2,2,2,0,0,0,0,0,0,17,1,10,1,1,2,1,2,3,1,1,1,1,4,8,1,1,1,0,1,5,2,9,1,1,1,1,1,2,2,1,3,2,3,1,2,2,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,2,1,1,2,3,1,5,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,3,1,1,1,1,3,3,1,1,1,1,2,1,1,3,1,3,4,1,0,1,1,2,2,0,1,1,3,0,3,1,3,0,1,1,1,1,1,3,0,1,0,1,1,1,3,1,1,1,0,1,2,2,1,1,1,7
1,1,4,2,2,1,1,7,1,1,1,1,1,1,1,1,5,1,2,1,1,3,1,13,1,4,1,1,4,1,1,2,1,8,2,1,2,1,1,3,1,2,1,1,3,1,21,1,1,3,1,4,1,2,2,2,6,1,15,4,2,2,1,3,1,2,1,1,1,1,5,3,2,1,1,4,1,1,6,2,2,1,1,1,1,2,1,2,1,1,1,2,1,4,1,1,1,5,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,1,1,6,2,1,1,1,1,1,1,1,15,1,1,1,4,3,7,2,1,2,2,2,1,1,1,1,2,6,1,1,1,13,1,3,1,1,2,1,4,1,2,1,1,1,3,2,2,1,1,1,14,1,13,1,1,1,1,2,3,2,1,1,2,2,7,1,1,1,1,1,5,2,3,1,1,1,1,1,2,2,1,3,1,3,1,2,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,2,1,5,1,3,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,2,1,1,2,1,1,2,1,1,4,1,1,1,2,1,1,1,2,1,1,1,3,1,3,1,1,1,2,1,2,3,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,6
2,1,8,1,1,2,1,8,1,1,1,1,1,1,1,1,8,0,2,1,3,0,1,13,1,6,1,2,4,1,1,1,1,6,2,0,1,0,1,3,4,2,0,0,3,1,15,1,1,2,1,3,1,2,2,6,5,1,25,4,2,1,1,2,2,2,1,1,1,1,5,2,2,1,1,2,2,1,0,1,3,1,1,1,1,2,1,4,1,1,1,3,1,9,1,1,1,5,1,1,1,0,1,3,6,1,1,1,1,1,1,2,3,1,1,15,3,1,1,1,5,1,2,1,15,1,1,2,3,6,12,3,0,2,1,1,1,1,1,1,2,6,1,1,1,23,2,2,1,1,2,1,4,1,1,1,1,1,1,0,0,0,0,0,15,0,15,1,1,4,1,2,3,1,1,1,1,8,17,2,1,1,1,1,5,1,8,1,0,1,1,1,2,4,2,3,2,3,1,2,2,1,1,1,0,1,1,2,1,1,1,1,3,2,1,1,1,1,1,2,3,1,3,2,12,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,1,1,2,1,0,2,1,1,5,1,0,1,2,1,0,1,1,1,1,0,3,0,3,0,1,1,0,0,1,3,0,1,0,1,1,1,3,1,2,1,0,1,1,2,0,1,1,9
3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,6,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,23,1,1,2,1,2,1,0,2,0,0,1,0,1,0,1,1,1,1,2,0,0,0,0,3,1,1,2,1,0,0,0,0,0,3,0,1,1,0,2,0,1,1,0,1,2,1,3,0,1,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,3,0,0,0,0,0,0,0,1,3,0,2,1,1,2,2,0,0,0,2,0,0,0,1,0,1,4,1,1,1,10,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,10,0,3,1,1,1,0,1,2,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,2,2,1,2,0,1,0,2,2,1,1,1,0,1,3,2,1,1,1,1,1,2,0,1,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0
4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,6,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,23,1,1,2,1,2,1,0,2,0,0,1,0,1,0,1,1,1,1,2,0,0,0,0,3,1,1,2,1,0,0,0,0,0,3,0,1,1,0,2,0,1,1,0,1,2,1,3,0,1,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,3,0,0,0,0,0,0,0,1,3,0,2,1,1,2,2,0,0,0,2,0,0,0,1,0,1,4,1,1,1,10,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,10,0,3,1,1,1,0,1,2,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,2,2,1,2,0,1,0,2,2,1,1,1,0,1,3,2,1,1,1,1,1,2,0,1,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0
