index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
PF10417.10,1,1,1
PF00389.31,1,1,1
PF02826.20,1,1,1
PF00198.24,1,1,1
PF16078.6,1,1,1
PF05635.12,1,1,1
PF03171.21,1,1,1
PF13532.7,1,1,1
PF13640.7,1,1,1
PF13239.7,1,1,1
PF06052.13,1,1,1
PF01073.20,1,1,1
PF00725.23,1,1,1
PF02737.19,1,1,1
PF03061.23,1,1,1
PF13279.7,1,1,1
PF01812.21,1,1,1
PF09038.11,0,1,0
PF01367.21,1,1,1
PF02739.17,1,1,1
PF02872.19,1,1,1
PF02096.21,1,1,1
PF07698.12,1,1,1
PF07696.12,0,1,1
PF07695.12,1,1,1
PF07697.12,1,1,1
PF14402.7,0,1,1
PF00207.23,1,1,1
PF07703.15,1,1,1
PF00004.30,1,1,1
PF12846.8,1,1,1
PF13173.7,1,1,1
PF13175.7,1,1,1
PF13191.7,1,1,1
PF13207.7,1,1,1
PF13238.7,1,1,1
PF13245.7,1,1,1
PF07724.15,1,1,1
PF13304.7,1,1,1
PF13401.7,1,1,1
PF13476.7,1,1,1
PF13479.7,1,1,1
PF13481.7,1,1,1
PF13500.7,1,1,1
PF13514.7,1,1,1
PF13521.7,1,1,1
PF13555.7,1,1,1
PF07726.12,1,1,1
PF13604.7,1,1,1
PF13614.7,1,1,1
PF13671.7,1,1,1
PF07728.15,1,1,1
PF12775.8,1,1,1
PF16193.6,1,1,1
PF17863.2,1,1,1
PF17862.2,1,1,1
PF17864.2,1,1,1
PF17866.2,1,1,1
PF17871.2,1,1,1
PF08298.12,1,1,1
PF03417.17,1,1,1
PF00696.29,1,1,1
PF00324.22,0,1,0
PF13520.7,0,1,0
PF00950.18,1,1,1
PF03109.17,1,1,0
PF01061.25,1,1,1
PF12679.8,1,1,1
PF12698.8,1,1,1
PF12730.8,1,1,1
PF13346.7,1,1,1
PF00664.24,1,1,1
PF00005.28,1,1,1
PF09822.10,1,1,1
PF16326.6,1,1,1
PF12848.8,1,1,1
PF00561.21,1,1,1
PF02230.17,1,1,1
PF07859.14,1,1,1
PF12697.8,1,1,1
PF08843.12,0,1,0
PF07751.12,0,1,0
PF03992.17,1,1,1
PF16177.6,1,1,1
PF00887.20,1,1,0
PF03255.15,1,1,1
PF00871.18,1,1,1
PF00583.26,1,1,1
PF13673.8,1,1,1
PF13720.7,1,1,1
PF00797.18,0,1,1
PF13302.8,1,1,1
PF13420.8,1,1,1
PF13444.7,1,1,1
PF13480.8,1,1,1
PF13508.8,1,1,1
