ID,name,organism,desc,source
MER0000002,chymotrypsin A,cattle-type,,
MER0000004,chymotrypsin B,Bos taurus,[S01.152]#S01A#{peptidase unit: 16-245},CTRB_BOVIN
MER0000009,proteolytic lectin,Anopheles-type,,
MER0000012,serine peptidase 6,Drosophila melanogaster,,
MER0000013,LP12217p,Drosophila melanogaster,,
MER0000015,chymotrypsin m-type 2,insect,,
MER0000020,cationic trypsin,Homo sapiens-type,,
MER0000021,trypsin-2 type A,Homo sapiens,[S01.258]#S01A#{peptidase unit: 24-246},AAI07785
MER0000022,mesotrypsin,Homo sapiens,[S01.174]#S01A#{peptidase unit: 24-246},TRY3_HUMAN
MER0000024,trypsin 1,Bos taurus,[S01.151]#S01A#{peptidase unit: 24-246},TRY1_BOVIN
MER0000027,trypsin-2 type B,Canis familiaris,[S01.120]#S01A#{peptidase unit: 24-246},TRY2_CANFA
MER0000028,trypsin 20,mouse numbering,,
MER0000029,trypsin 1,Rattus-type,,
MER0000030,trypsin-2 type C,Rattus norvegicus,[S01.119]#S01A#{peptidase unit: 24-246},TRY2_RAT
MER0000032,trypsin IV,Rattus norvegicus,,
MER0000033,trypsin Va,rodent,,
MER0000034,trypsin Vb,Rattus norvegicus,,
MER0000038,trypsin-1,fish,,
MER0000040,trypsin-3,fish,,
MER0000041,brachyurin-T,Astacus astacus,[S01.035]#S01A#{peptidase unit: 1-237},TRYP_ASTFL
MER0000046,trypsin alpha,insect,,
MER0000047,trypsin beta,Drosophila melanogaster,,
MER0000048,CG18681 protein,Drosophila melanogaster,,
MER0000054,CG17240 protein,Drosophila melanogaster,,
MER0000057,trypsin,mosquito type,,
MER0000064,kallikrein-related peptidase 15,Homo sapiens,[S01.081]#S01A#{peptidase unit: 22-256},KLKF_HUMAN
MER0000065,hypodermin A,Hypoderma lineatum,[S01.111]#S01A#{peptidase unit: 31-256},HYPA_HYPLI
MER0000066,hypodermin B,Hypoderma lineatum,[S01.090]#S01A#{peptidase unit: 31-256},HYPB_HYPLI
MER0000067,prothrombin activator,Lonomia sp.,,
MER0000069,cocoonase,Choristoneura fumiferana,[S01.112]#S01A#{peptidase unit: 25-256},TRYP_CHOFU
MER0000073,trypsin,fungal,,
MER0000077,trypsin,Streptomyces erythraeus-type,,
MER0000079,acrosin,Sus scrofa,[S01.223]#S01A#{peptidase unit: 40-290},ACRO_PIG
MER0000082,cathepsin G,Homo sapiens,[S01.133]#S01A#{peptidase unit: 21-245},CATG_HUMAN
MER0000084,mast cell peptidase 8,Mus musculus,,
MER0000085,factor V activator,Daboia russellii,,
MER0000087,rhombeobin,Lachesis muta rhombeata ,,
MER0000089,brachyurin-C,Celuca pugilator,[S01.122]#S01A#{peptidase unit: 1-224},COGS_UCAPU
MER0000092,kallikrein 1,Sus scrofa,[S01.160]#S01A#{peptidase unit: 25-262},NP_001001911
MER0000094,kallikrein-related peptidase 2,Homo sapiens,[S01.161]#S01A#{peptidase unit: 25-260},KLK2_HUMAN
MER0000096,kallikrein 1,Mus musculus,,
MER0000097,kallikrein 1-related peptidase b3,Mus musculus,[S01.170]#S01A#{peptidase unit: 30-265},EDL22700
MER0000098,kallikrein 1-related peptidase b5,Mus sp.,,
MER0000099,kallikrein 1-related peptidase b1,Mus musculus,[S01.164]#S01A#{peptidase unit: 25-260},KLK1_MOUSE
MER0000100,kallikrein 1-related peptidase b8,Mus musculus,[S01.067]#S01A#{peptidase unit: 31-266},EDL22690
MER0000101,kallikrein 1-related peptidase b9,Mus musculus,,
MER0000102,kallikrein 1-related peptidase b11,Mus musculus,[S01.041]#S01A#{peptidase unit: 25-260},KLKB_MOUSE
MER0000103,kallikrein 13,Mus musculus,,
