index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
COG3397,2,1,0
COG0694,2,1,2
COG3360,1,1,1
COG1331,1,2,2
COG1214,1,1,1
COG1566,2,3,4
COG1538,7,5,7
COG0845,6,5,8
COG0577,11,7,14
COG1136,7,6,7
COG2322,1,1,1
COG1999,3,2,4
COG1845,2,2,3
COG0109,1,1,1
COG0491,4,4,9
COG5652,0,1,1
COG0509,1,1,2
COG0632,1,1,1
COG0563,2,2,2
COG0281,1,1,1
COG1600,1,1,1
COG0668,7,5,4
COG2124,1,2,2
COG2255,1,1,1
COG0843,1,1,1
COG1622,1,1,1
COG3743,1,2,2
COG0437,1,2,2
COG3474,1,1,0
COG0532,1,1,1
COG0195,1,1,1
COG0779,1,1,1
COG0589,11,2,12
COG1402,0,1,0
COG4206,2,7,7
COG1595,44,30,48
COG0318,1,6,2
COG0726,3,2,3
COG3118,3,2,3
COG1408,2,1,2
COG0749,1,2,1
COG1680,30,27,49
COG0102,1,1,1
COG0103,1,1,1
COG0052,1,1,1
COG0264,1,1,1
COG0528,1,1,1
COG0233,1,1,1
COG1033,3,2,4
COG0017,1,1,1
COG0666,6,7,11
COG0753,0,2,1
COG3279,38,27,63
COG3275,26,16,53
COG1629,48,48,61
COG1396,2,2,1
COG1842,1,1,0
COG2268,1,1,1
COG1196,1,2,3
COG4104,1,3,1
COG1846,5,7,10
COG2153,1,2,1
COG4585,14,10,20
COG2197,20,12,24
COG1508,1,1,1
COG0848,5,4,5
COG0811,2,2,2
COG0252,1,1,1
COG0084,1,1,1
COG4995,10,8,6
COG2355,1,1,1
COG1670,10,9,12
COG1305,2,2,2
COG0223,2,2,2
COG4675,3,1,2
COG4886,8,11,16
COG2340,1,2,3
COG0022,4,4,4
COG0115,3,3,3
COG0508,4,4,4
COG0663,1,1,2
COG1024,6,5,7
COG1012,6,10,11
COG0183,3,3,3
COG2050,2,3,4
COG1250,3,3,3
COG2151,2,2,2
COG3396,2,2,2
COG3460,1,1,1
COG1018,4,3,2
COG1309,14,13,17
COG3187,1,1,1
COG3186,1,1,1
COG0013,1,1,1
COG0739,11,9,9
COG2843,2,1,1
COG0789,1,3,2
COG1704,0,2,1
COG3762,0,1,1
COG1512,0,1,1
COG1160,1,1,1
COG3391,2,3,4
COG1159,1,1,1
COG2885,17,16,12
COG1115,3,2,3
COG0566,7,7,7
COG2849,8,5,6
COG3409,1,1,2
COG0644,3,5,5
COG2986,2,2,2
COG1028,18,14,18
COG0304,7,8,11
COG0236,5,6,8
COG4261,1,1,1
COG0332,4,3,4
COG0764,1,3,4
COG1131,9,7,19
COG0842,1,1,2
COG0824,5,5,6
COG2834,1,2,2
COG0463,16,10,13
COG4258,0,1,0
COG1233,6,2,4
COG4927,1,1,1
COG1541,5,3,2
COG0384,2,2,3
COG0784,4,6,5
COG4251,3,3,4
COG3209,5,3,2
COG1525,0,1,0
COG1813,0,1,1
COG4974,4,6,4
COG2003,3,2,2
COG3325,0,3,3
COG4783,7,5,6
COG2244,6,6,6
COG0438,17,10,14
COG3934,1,1,1
COG5617,1,1,1
COG2819,5,9,6
COG4773,1,2,0
COG3182,2,6,3
COG2207,58,38,99
COG0596,17,13,25
COG0664,21,19,27
COG1304,0,1,0
COG3501,5,9,0
COG4946,1,2,2
COG1610,1,1,1
COG0206,1,1,1
COG0849,1,1,1
COG0773,2,2,2
COG0707,1,1,1
COG0772,2,2,2
COG0771,1,1,1
COG0472,1,2,1
COG0769,1,1,1
COG0768,2,2,2
COG0275,1,1,1
COG2001,1,1,1
COG0218,1,1,1
COG0171,1,1,1
COG0358,1,1,1
COG3979,3,6,11
COG0142,2,2,2
COG0820,1,1,1
COG0809,1,1,1
COG0128,1,1,1
COG1694,1,2,1
COG1490,1,1,1
COG1162,1,1,2
COG2876,1,1,1
COG0287,1,1,1
COG0436,4,6,5
COG0077,1,1,1
COG0156,3,4,3
COG0451,10,8,11
COG1522,8,8,13
COG0642,38,23,31
COG0685,1,1,1
COG1410,1,1,1
COG0646,1,1,1
COG0633,1,1,2
COG0492,5,4,4
COG1648,1,1,1
COG0007,2,2,2
COG0155,1,1,1
COG0464,3,2,2
COG0600,2,1,1
COG1116,3,1,1
COG3487,1,1,1
COG3488,1,1,1
COG3489,0,1,1
COG2426,0,1,1
COG3449,0,1,0
COG0350,2,3,2
COG3826,0,1,1
COG3145,1,1,1
COG4319,0,2,3
COG0583,3,10,8
COG3591,1,3,2
COG0486,1,1,1
COG3296,2,2,2
COG0004,1,1,1
COG0347,2,1,2
COG0069,3,2,3
COG0493,1,1,1
COG1385,1,1,1
COG0533,1,1,1
