index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
K14742,1,1,0
K13888,1,1,1
K02003,1,1,1
K02276,1,1,1
K02257,1,1,1
K02437,1,1,1
K03550,1,1,1
K00939,0,1,0
K00029,1,1,1
K18979,1,1,1
K03551,1,1,1
K02274,1,1,1
K02600,0,1,1
K05939,0,1,0
K22278,1,1,1
K02335,1,1,1
K02871,1,1,1
K02996,1,1,1
K02357,1,1,1
K09903,1,1,1
K02838,1,1,1
K01893,1,1,1
K03781,0,1,0
K02477,1,1,1
K07683,1,1,1
K07692,1,1,1
K03092,1,1,1
K01424,1,1,1
K03424,1,1,1
K03817,0,1,1
K00826,1,1,1
K00627,0,1,0
K02618,1,1,1
K00632,1,1,1
K02614,1,1,1
K00074,1,1,1
K15866,1,1,1
K02612,1,1,1
K02611,1,1,1
K02610,1,1,1
K02609,1,1,1
K02613,1,1,1
K22108,1,1,1
K01337,1,1,0
K01872,1,1,1
K03744,0,1,1
K03977,1,1,1
K03595,1,1,1
K03310,1,1,1
K00059,1,1,1
K00647,1,1,1
K02078,1,1,1
K00648,1,1,1
K01990,1,1,1
K01992,1,1,1
K21460,0,1,0
K09458,1,1,1
K01912,1,1,1
K03088,1,1,1
K11355,1,1,1
K03733,1,1,1
K02014,1,1,1
K01467,1,1,0
K07696,1,1,1
K13730,0,1,0
K08676,1,1,1
K09117,1,1,1
K03590,1,1,1
K02563,1,1,1
K03588,1,1,1
K01925,1,1,1
K01000,1,1,1
K01928,1,1,1
K08384,1,1,1
K03438,1,1,1
K03925,1,1,1
K16050,1,1,1
K03978,1,1,0
K06941,1,1,1
K07568,1,1,1
K00800,1,1,1
K06949,1,1,1
K00220,1,1,1
K10206,1,1,1
K14170,1,1,1
K00639,1,1,1
K03719,1,1,1
K00297,1,1,1
K00548,1,1,1
K04755,1,1,1
K00384,1,1,1
K02302,1,1,1
K02303,1,1,1
K02045,1,1,1
K10778,1,1,1
K03576,0,1,1
K03650,1,1,1
K03320,1,1,1
K04751,1,1,1
K00284,1,1,1
K00266,1,1,1
K09761,1,1,1
K01409,1,1,1
K00850,1,1,1
K01821,0,1,1
K00824,0,1,0
K07735,1,1,1
K03530,1,1,1
K00604,1,1,1
K07302,1,1,1
K00087,1,1,1
K19190,1,1,1
K00790,1,1,1
K03696,1,1,1
K02469,1,1,1
K15657,0,1,0
K06158,1,1,1
K06168,1,1,1
K04078,0,1,1
K01638,1,1,1
K01637,1,1,1
K08968,1,1,1
K01784,1,1,1
K03525,1,1,1
K01466,1,1,1
K00721,1,1,1
K01610,1,1,1
K03718,1,1,1
K00259,1,1,1
K15383,0,1,0
K01869,1,1,0
K13292,1,1,1
K06153,1,1,1
K03177,1,1,1
K01246,1,1,1
K00761,1,1,1
K00684,1,1,1
K03624,1,1,1
K03150,1,1,1
K03149,1,1,1
K00788,1,1,1
K00941,1,1,1
K03147,1,1,1
K07713,1,1,1
K15034,1,1,1
K06211,1,1,0
K03811,1,1,1
K01251,1,1,1
K02899,1,1,1
K03111,1,1,0
K08301,1,1,1
K01012,1,1,1
K01935,1,1,1
K02112,1,1,1
K00820,1,1,1
K00703,1,1,1
K01918,1,1,1
K01579,1,1,1
K04485,1,1,1
K03327,1,1,1
K03269,1,1,1
K02010,0,1,1
K00133,1,1,1
K03282,1,1,1
K01775,1,1,1
K00857,1,1,1
K07056,1,1,1
K07462,1,1,1
K01911,0,1,1
K00425,1,1,1
K00426,1,1,0
K07705,1,1,1
K04761,1,1,1
K03767,0,1,0
K03885,1,1,1
K05817,0,1,1
K03218,1,1,1
K03555,1,1,1
K13613,0,1,0
K13444,0,1,1
K15987,1,1,1
K01507,1,1,1
K22432,0,1,1
K00560,1,1,1
K18912,0,1,1
K18911,1,1,1
K01738,0,1,0
K00645,1,1,1
K22589,1,1,1
K15268,0,1,0
K13017,1,1,1
K02527,1,1,1
K15519,1,1,1
K00789,1,1,1
K01740,1,1,0
K00641,1,1,1
K12524,1,1,1
K07397,1,1,1
K01761,1,1,1
K00390,0,1,1
K02455,1,1,1
K03841,1,1,1
K00928,1,1,1
K03741,1,1,1
K03823,0,1,1
K22982,1,1,1
K06213,1,1,1
K02528,1,1,1
K01875,1,1,1
K11753,1,1,1
K02897,1,1,1
K00948,1,1,1
K01118,1,1,1
K00526,1,1,1
K00525,1,1,1
K06188,1,1,1
K01662,1,1,1
K11991,1,1,1
K03763,1,1,0
K03704,1,1,1
K01876,1,1,1
K03311,1,1,1
K00946,1,1,1
K00428,1,1,1
K15724,1,1,1
K09014,1,1,1
K09013,1,1,1
K09015,1,1,1
K11717,1,1,1
K02426,1,1,1
K04750,1,1,1
K01262,1,1,1
K00873,1,1,1
K03685,1,1,1
K11175,1,1,1
K03469,1,1,1
K00764,0,1,0
K20861,1,1,0
K03596,1,1,1
K05540,1,1,1
K09808,1,1,1
K02834,1,1,1
K05606,1,1,1
K00793,1,1,1
K22024,1,1,1
K02160,1,1,1
K01961,1,1,1
K03814,1,1,1
K02337,1,1,1
K02346,1,1,1
K07106,1,1,1
K07130,0,1,0
K23184,0,1,1
K01923,1,1,1
K05592,1,1,1
K01463,1,1,1
K03386,1,1,1
K11065,1,1,1
K00901,1,1,0
K03466,0,1,0
K14652,1,1,1
K02884,1,1,1
K14445,1,1,1
K00554,1,1,1
K00134,1,1,1
K04771,0,1,1
K01778,1,1,1
K00657,1,1,1
K07082,1,1,1
K01104,1,1,1
K02313,1,1,1
K07107,1,1,1
K21063,1,1,0
K11752,1,1,1
K01714,1,1,1
K03631,1,1,1
K00208,1,1,1
K00859,1,1,1
K07658,1,1,1
K00791,1,1,1
K02342,0,1,0
K06997,1,1,1
K16043,1,1,1
K00573,1,1,1
K03664,1,1,1
K18939,1,1,1
K03655,1,1,1
K21613,1,1,1
K17831,1,1,1
K05916,0,1,0
K00757,1,1,0
K21036,1,1,1
K13015,1,1,1
K19294,1,1,1
K19424,1,1,1
K01953,1,1,1
K15914,1,1,1
K15915,1,1,1
K19429,1,1,1
K19430,1,1,1
K15912,1,1,1
K00765,1,1,1
K00013,1,1,1
K00817,1,1,1
K01089,1,1,1
K02501,1,1,1
K01814,1,1,1
K02500,1,1,1
K02945,1,1,1
K00138,0,1,0
K02825,1,1,1
K00609,1,1,1
K00784,1,1,1
K00275,1,1,1
K00937,1,1,1
K01524,0,1,0
K21561,1,1,1
K13560,0,1,0
K01897,1,1,1
K00140,0,1,0
K03695,1,1,1
K06886,0,1,0
K10914,1,1,1
K00600,1,1,1
K03101,1,1,1
K11085,1,1,1
K07038,1,1,1
K11927,1,1,1
K01665,1,1,0
K04075,1,1,1
K04084,0,1,0
K21017,1,1,1
K01176,1,1,1
K21572,1,1,1
K21573,1,1,1
K01838,1,1,1
K01208,0,1,0
K07648,1,1,1
K07386,1,1,1
K07391,1,1,1
K03322,1,1,1
K07160,1,1,1
K06351,0,1,1
K06350,0,1,1
K07777,1,1,1
K01687,1,1,1
K01652,1,1,1
K01653,1,1,1
K00053,1,1,1
K01754,1,1,1
K01940,1,1,1
K00145,1,1,1
K00286,1,1,1
K00821,1,1,1
K00147,1,1,0
K00931,1,1,0
K13043,1,1,1
K00930,1,1,1
K01438,1,1,0
K01755,1,1,1
K01966,1,1,1
K11263,1,1,1
K01682,1,1,0
K05595,0,1,0
K22041,0,1,1
K19092,0,1,0
K07746,0,1,0
K02529,1,1,0
K00852,0,1,0
K01250,0,1,0
K11537,0,1,0
K18908,1,1,1
K13745,1,1,1
K03897,1,1,1
K03895,0,1,1
K01760,1,1,1
K13010,0,1,1
K00364,0,1,0
K02232,1,1,1
K04720,1,1,1
K02227,1,1,1
K03795,1,1,1
K02503,0,1,0
K02230,1,1,1
K02224,1,1,1
K01958,1,1,1
K09861,1,1,1
K06180,1,1,1
K01921,1,1,1
K00954,1,1,1
K03321,1,1,1
K09710,1,1,1
K01613,0,1,0
K01873,1,1,1
K00812,1,1,1
K00075,1,1,1
K03644,1,1,1
K00912,1,1,1
K02968,1,1,1
K01881,1,1,1
K01495,1,1,1
K01883,1,1,1
K02835,1,1,1
K03305,0,1,1
K01933,1,1,1
K01915,1,1,1
K07301,1,1,1
K00759,1,1,1
K03723,1,1,1
K01297,1,1,1
K01874,1,1,1
K04768,1,1,1
K00245,1,1,1
K14287,1,1,1
K01768,1,1,1
K08693,1,1,1
K13051,0,1,1
K06950,1,1,1
K03921,1,1,1
K04759,1,1,1
K11749,1,1,1
K18797,0,1,1
K17736,0,1,0
K00556,1,1,1
K02338,1,1,1
K02015,1,1,1
K22305,1,1,1
K02233,1,1,1
K00768,1,1,1
K16092,1,1,1
K01756,1,1,1
K12410,1,1,1
K05523,0,1,1
K18244,1,1,1
K16920,0,1,0
K14731,1,1,0
K21567,1,1,1
K01783,1,1,1
K03086,1,1,1
K01698,1,1,1
K00567,1,1,1
K02018,0,1,1
K02020,1,1,1
K03183,1,1,1
K14393,1,1,1
K00849,1,1,1
K01130,0,1,0
K03294,0,1,0
K12256,0,1,0
K02855,1,1,1
K00135,0,1,0
K00462,0,1,1
K00483,0,1,0
K10217,0,1,0
K21703,1,1,0
K08218,0,1,1
K09001,1,1,1
K00876,1,1,1
K01847,0,1,0
K03496,1,1,1
K03497,1,1,1
K00215,1,1,1
K03572,1,1,1
K00794,1,1,1
K03629,1,1,1
K00940,1,1,1
K06881,1,1,1
K01712,1,1,1
K01468,1,1,1
K01745,1,1,1
K01669,1,1,1
K22230,1,1,1
K07456,1,1,1
K03648,1,1,1
K02340,1,1,1
K01679,1,1,1
K00537,1,1,1
K02836,1,1,1
K20801,1,1,1
K09946,1,1,1
K09747,0,1,1
K01697,1,1,1
K03701,1,1,1
K10773,1,1,1
K03564,1,1,1
K18820,1,1,1
K01465,1,1,1
K09022,1,1,1
K08316,1,1,1
K21739,0,1,0
K01724,1,1,1
K06287,1,1,1
K07671,0,1,0
K00767,1,1,1
K02990,1,1,1
K02939,1,1,1
K01892,1,1,1
K07304,1,1,1
K00831,1,1,1
K02548,1,1,1
K06020,1,1,1
K06181,1,1,1
K07090,1,1,1
K06925,1,1,1
K02536,1,1,1
K00677,1,1,1
K02356,1,1,1
K01902,1,1,1
K03569,1,1,1
K00945,1,1,1
K06173,1,1,1
K03654,1,1,1
K12339,1,1,1
K00034,1,1,1
K22441,1,1,1
K00626,1,1,1
K16053,1,1,1
K06942,1,1,1
K02348,1,1,1
K16264,0,1,1
K01808,1,1,1
K12573,1,1,1
K01886,1,1,1
K01885,1,1,1
K03495,1,1,1
K00602,1,1,1
K03570,1,1,1
K05515,1,1,1
K01173,1,1,0
K03797,1,1,1
K03787,1,1,1
K00748,1,1,1
K13694,0,1,0
K18574,1,1,0
K00054,1,1,1
K00658,1,1,1
K00164,1,1,1
K13787,1,1,1
K18138,0,1,1
K01358,1,1,1
K15633,1,1,1
K01265,1,1,1
K03734,1,1,1
K00350,1,1,1
K00349,1,1,1
K00348,1,1,1
K00347,1,1,1
K00346,1,1,1
K06195,1,1,1
K00294,1,1,1
K03501,1,1,1
K22769,0,1,0
K03498,1,1,1
K03499,1,1,1
K21514,1,1,0
K01624,1,1,1
K01963,1,1,1
K02956,1,1,1
K00962,1,1,1
K03702,1,1,1
K01903,1,1,1
K01586,1,1,1
K01951,1,1,1
K01284,0,1,1
K00927,1,1,1
K06959,1,1,1
K01809,1,1,1
K01710,1,1,1
K00973,1,1,1
K01790,1,1,1
K01735,1,1,1
K00978,0,1,0
K01709,0,1,0
K13328,0,1,0
K19632,0,1,0
K13005,0,1,0
K00012,1,1,1
K01945,1,1,1
K01704,1,1,1
K01703,1,1,1
K01649,1,1,1
K06175,1,1,0
K00606,1,1,1
K01752,1,1,1
K04043,1,1,1
K00681,1,1,1
K08682,1,1,1
K01053,0,1,0
K12974,1,1,0
K02517,0,1,1
K05834,1,1,1
K00014,1,1,1
K04765,1,1,1
K23948,1,1,1
K00566,1,1,1
K01937,1,1,1
K07447,1,1,1
K00674,1,1,1
K02843,1,1,0
K13500,0,1,0
K02259,0,1,1
K03923,0,1,0
K03517,0,1,1
K00278,0,1,1
K03385,0,1,0
K07322,0,1,1
K02567,0,1,1
K22468,0,1,1
K02622,1,1,0
K03442,1,1,1
K19222,1,1,1
K02361,0,1,0
K02551,1,1,1
K00243,1,1,1
K02217,1,1,1
K01661,1,1,1
K16137,1,1,1
K10680,0,1,1
K11941,1,1,0
K16907,0,1,0
K07552,1,1,1
K10780,0,1,1
K16167,1,1,1
K00700,1,1,1
K00975,1,1,1
K17229,0,1,1
K00375,0,1,1
K01058,1,1,1
K22607,0,1,1
K01354,1,1,1
K07559,1,1,1
K23518,1,1,0
K09935,0,1,0
K06970,1,1,1
K06969,1,1,1
K07305,1,1,1
K00382,1,1,1
K03786,0,1,1
K04763,1,1,1
K23997,1,1,1
K00872,1,1,1
K01733,1,1,1
K01515,0,1,1
K00605,1,1,1
K01580,0,1,0
K21756,0,1,0
K11102,1,1,1
K01736,1,1,1
K00754,1,1,1
K00925,1,1,1
K13788,1,1,1
K01890,1,1,1
K03544,1,1,1
K03545,0,1,1
K06076,1,1,1
K01175,1,1,1
K03474,1,1,1
K00858,1,1,1
K00806,1,1,1
K07277,1,1,1
K01776,1,1,1
K01772,1,1,1
K02492,1,1,1
K01749,1,1,1
K01599,1,1,1
K00228,1,1,1
K01895,1,1,1
K07668,1,1,1
K04047,1,1,1
K06889,1,1,1
K19159,0,1,0
K19158,0,1,0
K01868,1,1,1
K02887,1,1,1
K01139,1,1,1
K01939,1,1,1
K01270,1,1,1
K02314,1,1,1
K01962,1,1,1
K00773,1,1,1
K00615,1,1,1
K04762,1,1,1
K00891,1,1,1
K10209,0,1,0
K02291,1,1,1
K01681,1,1,1
K00088,1,1,1
K01640,1,1,1
K00254,1,1,1
K01258,1,1,1
K18889,1,1,1
K06041,1,1,1
K03118,1,1,1
K06861,1,1,1
K04079,1,1,1
K20138,0,1,1
K24085,0,1,0
K01823,1,1,1
K02837,1,1,1
K03046,1,1,1
K03043,1,1,1
K02864,1,1,1
K02863,1,1,1
K02867,1,1,1
K02601,1,1,1
K02358,1,1,1
K07047,1,1,1
K09812,1,1,1
K06878,0,1,1
K01627,1,1,1
K06143,1,1,1
K02470,1,1,1
K10026,1,1,1
K06182,0,1,1
K00128,1,1,1
K00486,1,1,1
K15067,0,1,1
K19550,0,1,1
K00452,1,1,1
K05995,1,1,1
K01425,1,1,1
K20534,1,1,0
K13016,1,1,1
K13018,1,1,1
K00616,1,1,1
K17754,1,1,1
K02478,1,1,1
K00957,1,1,1
K00955,1,1,1
K00248,1,1,0
K01929,1,1,1
K01489,1,1,1
K21416,1,1,1
K00971,0,1,0
K02065,1,1,1
K02066,1,1,1
K00281,1,1,1
K07071,1,1,1
K01414,1,1,1
K01588,1,1,1
K01589,1,1,1
K03979,1,1,1
K02558,1,1,1
K03630,1,1,1
K01560,0,1,0
K07478,1,1,1
K02355,1,1,1
K02946,1,1,1
K02892,0,1,0
K02886,1,1,1
K02965,1,1,1
K02890,1,1,1
K02982,1,1,1
K02878,1,1,1
K02931,0,1,1
K02954,1,1,1
K02994,1,1,1
K02881,1,1,1
K02988,1,1,1
K02876,1,1,1
K03076,1,1,1
K02518,1,1,1
K02952,1,1,1
K02948,1,1,1
K03040,1,1,1
K01956,1,1,1
K01647,1,1,1
K17472,1,1,1
K01887,1,1,1
K03106,1,1,1
K01491,1,1,0
K06147,1,1,1
K18672,0,1,1
K00796,1,1,1
K16200,1,1,1
K01803,1,1,1
K00798,1,1,1
K03394,1,1,1
K04719,1,1,1
K03216,0,1,1
K01750,0,1,1
K20615,0,1,1
K01695,1,1,1
K01696,1,1,1
K01817,1,1,1
K01609,1,1,1
K00766,1,1,1
K01664,1,1,1
K01657,1,1,1
K02429,0,1,1
K05800,0,1,1
K01591,1,1,1
K01433,1,1,1
K11942,1,1,1
K06199,0,1,1
K15461,1,1,1
K03686,1,1,1
K05802,1,1,1
K05366,1,1,1
K05020,0,1,0
K07588,1,1,1
K03070,1,1,1
K06187,1,1,1
K11708,1,1,1
K11710,1,1,1
K11707,1,1,1
K03709,0,1,1
K03742,1,1,1
K02902,1,1,1
K03110,1,1,1
K14441,1,1,1
K03303,0,1,0
K01091,0,1,1
K03270,1,1,1
K02428,1,1,1
K03315,1,1,1
K19715,1,1,1
K01955,1,1,1
K18707,1,1,1
K12368,1,1,1
K02909,1,1,1
K01835,1,1,1
K01952,1,1,1
K07516,1,1,1
K03825,1,1,0
K00942,1,1,1
K00969,1,1,1
K01715,1,1,1
K13892,1,1,1
K01029,1,1,1
K01028,1,1,1
