row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq107_00001,,,,PF13585.7
Aq_sp_Aq107_00002,COG2825,,,PF03938.15
Aq_sp_Aq107_00003,COG2227,,,PF08241.13
Aq_sp_Aq107_00005,COG0445,,K03495,PF12831.8
Aq_sp_Aq107_00006,COG0319,,K07042,PF02130.18
Aq_sp_Aq107_00007,COG1196,,,PF13779.7
Aq_sp_Aq107_00008,,,K00496,PF00487.25
Aq_sp_Aq107_00009,COG0008,,K01885,PF00749.22
Aq_sp_Aq107_00010,COG0330,,,PF01145.26
Aq_sp_Aq107_00012,COG0008,,K01886,PF00749.22
Aq_sp_Aq107_00013,COG1539,,,PF02152.19
Aq_sp_Aq107_00014,COG1280,,,PF01810.19
Aq_sp_Aq107_00015,,,,PF10988.9
Aq_sp_Aq107_00016,COG0557,,K12573,PF17876.2
Aq_sp_Aq107_00018,COG0698,,K01808,PF02502.19
Aq_sp_Aq107_00019,COG2153,,K02348,PF00583.26
Aq_sp_Aq107_00020,COG0793,,,PF00595.25
Aq_sp_Aq107_00021,COG0594,,,PF00825.19
Aq_sp_Aq107_00022,,,,PF18962.1
Aq_sp_Aq107_00023,COG0308,,,PF01433.21
Aq_sp_Aq107_00024,COG1404,,,PF00082.23
Aq_sp_Aq107_00025,COG0491,,,PF00753.28
Aq_sp_Aq107_00026,COG0025,,,PF00999.22
Aq_sp_Aq107_00029,,,,PF13715.7
Aq_sp_Aq107_00030,,,,PF18942.1
Aq_sp_Aq107_00032,COG2374,,,
Aq_sp_Aq107_00033,COG2262,,K03665,PF00025.22
Aq_sp_Aq107_00034,,,,PF11276.9
Aq_sp_Aq107_00035,COG0456,,,PF00583.26
Aq_sp_Aq107_00036,,,,PF11276.9
Aq_sp_Aq107_00037,,,,PF10652.10
Aq_sp_Aq107_00038,COG2151,,,PF01883.20
Aq_sp_Aq107_00039,COG2166,,K02426,PF02657.16
Aq_sp_Aq107_00040,COG0520,,K11717,PF00155.22
Aq_sp_Aq107_00041,COG1680,,,PF00144.25
Aq_sp_Aq107_00042,COG0719,,K09015,PF01458.18
Aq_sp_Aq107_00043,COG0396,,K09013,PF00005.28
Aq_sp_Aq107_00045,COG0719,,K09014,PF01458.18
Aq_sp_Aq107_00046,COG0316,,K15724,PF01521.21
Aq_sp_Aq107_00047,COG3279,,K02477,PF04397.16
Aq_sp_Aq107_00048,COG3275,,,PF07695.12
Aq_sp_Aq107_00050,COG1858,,K00428,PF03150.15
Aq_sp_Aq107_00054,COG5276,,,PF08309.12
Aq_sp_Aq107_00055,COG5276,,,PF18962.1
Aq_sp_Aq107_00058,COG0611,,K00946,PF00586.25
Aq_sp_Aq107_00060,COG0596,,,PF00561.21
Aq_sp_Aq107_00061,COG1114,,K03311,PF05525.14
Aq_sp_Aq107_00062,COG1858,,,PF03150.15
Aq_sp_Aq107_00063,COG2764,,K04750,PF00903.26
Aq_sp_Aq107_00064,COG0006,,K01262,PF05195.17
Aq_sp_Aq107_00065,,,,PF02012.21
Aq_sp_Aq107_00066,COG2207,,,PF01590.27
Aq_sp_Aq107_00067,COG0642,,,PF02518.27
Aq_sp_Aq107_00068,COG2207,,,PF01590.27
Aq_sp_Aq107_00069,,,,PF00041.22
Aq_sp_Aq107_00070,,,,PF00515.29
Aq_sp_Aq107_00073,,,,PF01344.26
Aq_sp_Aq107_00074,,,,PF01551.23
Aq_sp_Aq107_00076,,,,PF04402.15
Aq_sp_Aq107_00078,,,,PF09414.11
Aq_sp_Aq107_00082,,,,PF01391.19
Aq_sp_Aq107_00086,,,,PF18962.1
Aq_sp_Aq107_00087,,,,PF11026.9
Aq_sp_Aq107_00088,COG0642,,,PF02518.27
Aq_sp_Aq107_00089,COG0784,,,PF00072.25
Aq_sp_Aq107_00090,COG0469,,K00873,PF03328.15
Aq_sp_Aq107_00092,COG0571,,K03685,PF00035.27
Aq_sp_Aq107_00093,COG0304,,K09458,PF00109.27
Aq_sp_Aq107_00094,COG0236,,K02078,PF00550.26
Aq_sp_Aq107_00095,COG0299,,K11175,PF00551.20
Aq_sp_Aq107_00096,COG3341,,K03469,PF01693.17
Aq_sp_Aq107_00097,,,,PF01400.25
Aq_sp_Aq107_00098,,,,PF01400.25
Aq_sp_Aq107_00099,COG0524,,,PF00294.25
Aq_sp_Aq107_00100,COG0034,,,PF13522.7
Aq_sp_Aq107_00101,COG0605,,,PF02777.19
Aq_sp_Aq107_00102,COG1074,,,PF13245.7
Aq_sp_Aq107_00103,COG2885,,,PF00691.21
Aq_sp_Aq107_00104,COG3857,,,PF12705.8
Aq_sp_Aq107_00105,COG1506,,,PF00561.21
Aq_sp_Aq107_00106,COG1629,,,PF13715.7
Aq_sp_Aq107_00108,COG2207,,,PF12833.8
Aq_sp_Aq107_00111,COG1070,,,PF02782.17
Aq_sp_Aq107_00112,COG2115,,K01805,PF01261.25
Aq_sp_Aq107_00113,COG2017,,,PF01263.21
Aq_sp_Aq107_00114,COG1609,,K05499,PF00356.22
Aq_sp_Aq107_00115,,GH11,,PF00457.18
Aq_sp_Aq107_00116,COG1262,,,PF03781.17
Aq_sp_Aq107_00117,COG4146,,,PF00474.18
Aq_sp_Aq107_00118,COG0642,,,PF02518.27
Aq_sp_Aq107_00119,COG1472,GH3,K05349,PF14310.7
Aq_sp_Aq107_00120,COG1629,,,PF13715.7
Aq_sp_Aq107_00121,,,,PF12771.8
Aq_sp_Aq107_00123,COG3693,GH10,,PF00331.21
Aq_sp_Aq107_00124,COG3405,GCBM36+CBM6+GH8,,PF03422.16
Aq_sp_Aq107_00125,COG3279,,,PF04397.16
Aq_sp_Aq107_00126,,,,PF13424.7
Aq_sp_Aq107_00127,,,,PF01400.25
Aq_sp_Aq107_00129,,,,PF18962.1
Aq_sp_Aq107_00130,,,,PF18885.1
Aq_sp_Aq107_00131,COG0664,,,PF00027.30
Aq_sp_Aq107_00132,,GPL9,,PF13229.7
Aq_sp_Aq107_00134,,,,PF13229.7
Aq_sp_Aq107_00135,COG4447,,,PF16841.6
Aq_sp_Aq107_00136,COG0589,,,PF00582.27
Aq_sp_Aq107_00137,COG0456,,,PF00583.26
Aq_sp_Aq107_00138,COG0534,,K03327,PF01554.19
Aq_sp_Aq107_00139,COG1024,,K01715,PF00378.21
Aq_sp_Aq107_00140,COG0720,,,PF01242.20
Aq_sp_Aq107_00141,COG2908,,K03269,PF00149.29
Aq_sp_Aq107_00142,,,,PF17957.2
Aq_sp_Aq107_00143,COG3842,,K02045,PF13304.7
Aq_sp_Aq107_00144,COG1505,,,PF00326.22
Aq_sp_Aq107_00145,,,,PF07681.13
Aq_sp_Aq107_00146,,,,PF00246.25
Aq_sp_Aq107_00147,COG0136,,K00133,PF01118.25
Aq_sp_Aq107_00148,COG1970,,K03282,PF01741.19
Aq_sp_Aq107_00149,COG0787,,K01775,PF00842.22
Aq_sp_Aq107_00150,COG1435,,K00857,PF00265.19
Aq_sp_Aq107_00152,,,,PF13564.7
Aq_sp_Aq107_00153,COG0313,,K07056,PF00590.21
Aq_sp_Aq107_00154,,,,PF08888.12
Aq_sp_Aq107_00155,,,,PF13398.7
Aq_sp_Aq107_00159,COG4585,,K07683,PF02518.27
Aq_sp_Aq107_00160,COG2197,,K07694,PF00196.20
Aq_sp_Aq107_00161,COG2128,,,PF02627.21
Aq_sp_Aq107_00162,COG0608,,K07462,PF01368.21
Aq_sp_Aq107_00163,COG0596,,,PF00561.21
Aq_sp_Aq107_00166,COG3485,,,PF00775.22
Aq_sp_Aq107_00167,COG0744,GT51,K03814,PF00912.23
Aq_sp_Aq107_00168,COG0665,,,PF01266.25
Aq_sp_Aq107_00169,COG4770,,K01961,PF02222.23
Aq_sp_Aq107_00170,COG0511,,K02160,PF00364.23
Aq_sp_Aq107_00171,COG0332,,K00648,PF08545.11
Aq_sp_Aq107_00172,COG1399,,,PF02620.18
Aq_sp_Aq107_00173,COG1995,,K22024,PF04166.13
Aq_sp_Aq107_00174,COG0307,,K00793,PF00677.18
Aq_sp_Aq107_00176,,,,PF13715.7
Aq_sp_Aq107_00177,,,,PF13715.7
Aq_sp_Aq107_00178,COG1680,,,PF00144.25
Aq_sp_Aq107_00179,COG0666,,,PF00023.31
Aq_sp_Aq107_00180,COG3275,,,PF06580.14
Aq_sp_Aq107_00181,COG3279,,K07705,PF04397.16
Aq_sp_Aq107_00182,COG0346,,K05606,PF00903.26
