index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
AA10+CBM73+CBM73,0,1,0
CE4,2,2,2
CBM9,2,5,7
GT2_Glycos_transf_2,15,7,10
CBM5+GH18+GH19,0,1,0
GH5_42,1,1,1
GT28,1,1,1
CBM5+CBM73+GH18,0,1,1
GT2,5,4,5
GT5,2,2,2
GH20,0,2,3
CBM5+GH19,0,1,1
CBM5+GH18,0,2,1
CBM73,0,1,0
CBM6+CBM6,0,1,0
CBM6+GH64,0,1,0
CBM6+GH16,2,1,0
GT30,1,1,1
GT51,5,4,4
CE14,1,1,1
GT4,14,7,11
GH13_7,1,2,2
GH65,2,1,1
GH13,3,1,2
GH99,0,1,1
GH18,1,2,2
GH109,0,2,2
GH3,7,4,5
GH31,2,2,2
GH13_19,2,1,1
CE11,1,1,1
GT19,1,1,1
CBM50+GH23,1,1,1
GT9,2,2,2
CBM48+GH13_9,1,1,1
GH25,0,1,1
CE1,0,1,0
GH92,0,2,6
GH23,1,1,1
GT0+GT4,1,1,0
GH11,2,0,0
GH10,1,0,0
CBM36+CBM6+GH8,1,0,0
PL9,1,0,0
GH113,2,0,2
GH13_31,1,0,0
CBM50+GH73,1,0,1
GH16,4,0,0
GH5_2,1,0,0
GH13_20,1,0,0
CBM13,1,0,1
GH74,1,0,0
PL6_1,2,0,0
CBM32+PL6,1,0,0
GH81+CBM6,1,0,0
CBM16+CBM32+PL7,1,0,0
CBM13+PL7,1,0,0
CBM6+CBM35,1,0,0
AA10,2,0,0
PL14_3,2,0,0
GH5_2+PL31,1,0,0
GH5_1,2,0,0
CBM26+GH119,1,0,0
PL6,1,0,0
PL7_5,1,0,0
GH1,1,0,1
PL9_2,1,0,0
GH5_2+CBM60,1,0,0
GH37,1,0,1
CBM21,1,0,0
GH64,1,0,0
GH2,2,0,1
GH88,1,0,0
GH9,1,0,1
CBM26+GH13_19,1,0,0
CBM50+GH19,1,0,0
CBM26+GH13,1,0,0
GH26,1,0,0
GT20,1,0,0
GH15,1,0,0
CBM26+GH13_6,1,0,0
PL17_2,1,0,0
CBM6,3,0,0
PL29,1,0,0
CBM3+GH48+GH9,1,0,0
CBM3+GH9,1,0,0
CBM63,1,0,0
GH18+CBM12+CBM20+CBM5,1,0,0
GH36,1,0,0
PL0,1,0,0
PL14,1,0,0
GT0,1,0,0
CBM3,1,0,0
GH144,0,0,1
GH97,0,0,1
GH89,0,0,1
GH63,0,0,1
GH18+CBM5,0,0,1
CBM32,0,0,1
GT1,0,0,1
CBM32+GH5_2,0,0,1
GH130,0,0,1
GH29,0,0,1
GT60,0,0,1
GH18+CBM12+CBM5,0,0,2
GT0+GT2+GT4,0,0,1
