row_0,CAZyme
Aq_sp_Aq349_00003,PF01810.19
Aq_sp_Aq349_00004,PF06580.14
Aq_sp_Aq349_00005,PF04397.16
Aq_sp_Aq349_00007,PF00756.21
Aq_sp_Aq349_00008,PF00756.21
Aq_sp_Aq349_00009,PF00698.22
Aq_sp_Aq349_00010,PF13505.7
Aq_sp_Aq349_00011,PF01636.24
Aq_sp_Aq349_00012,PF13239.7
Aq_sp_Aq349_00013,PF00266.20
Aq_sp_Aq349_00014,PF16561.6
Aq_sp_Aq349_00015,PF04248.13
Aq_sp_Aq349_00016,PF10017.10
Aq_sp_Aq349_00017,PF12867.8
Aq_sp_Aq349_00018,PF03544.15
Aq_sp_Aq349_00019,PF00303.20
Aq_sp_Aq349_00020,PF07670.15
Aq_sp_Aq349_00021,PF02577.15
Aq_sp_Aq349_00022,PF01012.22
Aq_sp_Aq349_00023,PF01012.22
Aq_sp_Aq349_00024,PF02780.21
Aq_sp_Aq349_00025,PF13715.7
Aq_sp_Aq349_00026,PF00719.20
Aq_sp_Aq349_00028,PF03030.17
Aq_sp_Aq349_00029,PF09949.10
Aq_sp_Aq349_00030,PF12844.8
Aq_sp_Aq349_00031,PF04480.13
Aq_sp_Aq349_00032,PF04055.22
Aq_sp_Aq349_00033,PF13566.7
Aq_sp_Aq349_00035,PF00881.25
Aq_sp_Aq349_00036,PF08241.13
Aq_sp_Aq349_00038,PF00805.23
Aq_sp_Aq349_00040,PF03781.17
Aq_sp_Aq349_00041,PF05147.14
Aq_sp_Aq349_00042,PF01624.21
Aq_sp_Aq349_00043,PF00588.20
Aq_sp_Aq349_00044,PF00629.24
Aq_sp_Aq349_00045,PF01244.22
Aq_sp_Aq349_00046,PF01712.20
Aq_sp_Aq349_00047,PF02592.16
Aq_sp_Aq349_00048,PF13502.7
Aq_sp_Aq349_00049,PF01400.25
Aq_sp_Aq349_00054,PF01810.19
Aq_sp_Aq349_00055,PF00155.22
Aq_sp_Aq349_00056,PF10977.9
Aq_sp_Aq349_00057,PF03321.14
Aq_sp_Aq349_00059,PF00004.30
Aq_sp_Aq349_00060,PF00574.24
Aq_sp_Aq349_00061,PF05698.15
Aq_sp_Aq349_00062,PF04020.14
Aq_sp_Aq349_00063,PF13472.7
Aq_sp_Aq349_00064,PF13505.7
Aq_sp_Aq349_00065,PF00561.21
Aq_sp_Aq349_00066,PF03740.14
Aq_sp_Aq349_00067,PF00571.29
Aq_sp_Aq349_00068,PF01513.22
Aq_sp_Aq349_00070,PF01255.20
Aq_sp_Aq349_00071,PF01103.24
Aq_sp_Aq349_00072,PF03938.15
Aq_sp_Aq349_00073,PF03938.15
Aq_sp_Aq349_00074,PF01177.23
Aq_sp_Aq349_00076,PF04397.16
Aq_sp_Aq349_00077,PF06580.14
Aq_sp_Aq349_00079,PF00581.21
Aq_sp_Aq349_00080,PF11751.9
Aq_sp_Aq349_00081,PF08712.12
Aq_sp_Aq349_00082,PF02311.20
Aq_sp_Aq349_00083,PF00464.20
Aq_sp_Aq349_00084,PF01212.22
Aq_sp_Aq349_00085,PF01571.22
Aq_sp_Aq349_00086,PF01597.20
Aq_sp_Aq349_00087,PF07311.13
Aq_sp_Aq349_00088,PF13899.7
Aq_sp_Aq349_00091,PF00814.26
Aq_sp_Aq349_00092,PF13533.7
Aq_sp_Aq349_00093,PF02321.19
Aq_sp_Aq349_00094,PF00364.23
Aq_sp_Aq349_00095,PF02687.22
Aq_sp_Aq349_00096,PF02687.22
Aq_sp_Aq349_00097,PF13304.7
Aq_sp_Aq349_00098,PF10067.10
Aq_sp_Aq349_00099,PF02630.15
Aq_sp_Aq349_00101,PF03626.15
Aq_sp_Aq349_00102,PF00510.19
Aq_sp_Aq349_00103,PF00510.19
Aq_sp_Aq349_00104,PF01040.19
Aq_sp_Aq349_00105,PF00753.28
Aq_sp_Aq349_00106,PF03544.15
Aq_sp_Aq349_00107,PF03544.15
Aq_sp_Aq349_00108,PF04892.13
Aq_sp_Aq349_00109,PF01597.20
Aq_sp_Aq349_00110,PF14349.7
Aq_sp_Aq349_00111,PF00633.24
Aq_sp_Aq349_00112,PF00390.20
Aq_sp_Aq349_00113,GH37
Aq_sp_Aq349_00114,PF07690.17
Aq_sp_Aq349_00115,PF13715.7
Aq_sp_Aq349_00116,PF00356.22
Aq_sp_Aq349_00117,PF08331.11
Aq_sp_Aq349_00118,PF00924.19
Aq_sp_Aq349_00124,COG1595
Aq_sp_Aq349_00125,PF14559.7
Aq_sp_Aq349_00126,PF12895.8
Aq_sp_Aq349_00127,PF00067.23
Aq_sp_Aq349_00128,PF01979.21
Aq_sp_Aq349_00129,PF00004.30
Aq_sp_Aq349_00130,PF00115.21
Aq_sp_Aq349_00131,PF00116.21
Aq_sp_Aq349_00133,PF13442.7
Aq_sp_Aq349_00134,PF11821.9
Aq_sp_Aq349_00135,PF03916.15
Aq_sp_Aq349_00136,PF13237.7
Aq_sp_Aq349_00137,PF14522.7
Aq_sp_Aq349_00139,PF00009.28
Aq_sp_Aq349_00140,PF07650.18
Aq_sp_Aq349_00141,PF02576.18
Aq_sp_Aq349_00142,PF00582.27
Aq_sp_Aq349_00143,PF11028.9
Aq_sp_Aq349_00144,GCE4
Aq_sp_Aq349_00145,PF00085.21
Aq_sp_Aq349_00146,PF00149.29
Aq_sp_Aq349_00147,PF01367.21
Aq_sp_Aq349_00148,PF00144.25
Aq_sp_Aq349_00149,GCBM9
Aq_sp_Aq349_00150,PF00572.19
Aq_sp_Aq349_00151,PF00380.20
Aq_sp_Aq349_00152,PF00318.21
Aq_sp_Aq349_00153,PF00889.20
Aq_sp_Aq349_00154,PF00696.29
Aq_sp_Aq349_00155,PF01765.20
Aq_sp_Aq349_00156,PF13715.7
Aq_sp_Aq349_00157,PF00873.20
Aq_sp_Aq349_00158,PF00152.21
Aq_sp_Aq349_00159,PF10754.10
Aq_sp_Aq349_00160,PF04397.16
Aq_sp_Aq349_00161,PF06580.14
