index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
COG3397,1,1,0
COG0694,1,1,1
COG3360,1,1,1
COG1331,1,1,1
COG1214,1,1,1
COG1566,1,1,1
COG1538,1,1,1
COG0845,1,1,1
COG0577,1,1,1
COG1136,1,1,1
COG2322,1,1,1
COG1999,1,1,1
COG1845,1,1,1
COG0109,1,1,1
COG0491,1,1,1
COG5652,0,1,1
COG0509,1,1,1
COG0632,1,1,1
COG0563,1,1,1
COG0281,1,1,1
COG1600,1,1,1
COG0668,1,1,1
COG2124,1,1,1
COG2255,1,1,1
COG0843,1,1,1
COG1622,1,1,1
COG3743,1,1,1
COG0437,1,1,1
COG3474,1,1,0
COG0532,1,1,1
COG0195,1,1,1
COG0779,1,1,1
COG0589,1,1,1
COG1402,0,1,0
COG4206,1,1,1
COG1595,1,1,1
COG0318,1,1,1
COG0726,1,1,1
COG3118,1,1,1
COG1408,1,1,1
COG0749,1,1,1
COG1680,1,1,1
COG0102,1,1,1
COG0103,1,1,1
COG0052,1,1,1
COG0264,1,1,1
COG0528,1,1,1
COG0233,1,1,1
COG1033,1,1,1
COG0017,1,1,1
COG0666,1,1,1
COG0753,0,1,1
COG3279,1,1,1
COG3275,1,1,1
COG1629,1,1,1
COG1396,1,1,1
COG1842,1,1,0
COG2268,1,1,1
COG1196,1,1,1
COG4104,1,1,1
COG1846,1,1,1
COG2153,1,1,1
COG4585,1,1,1
COG2197,1,1,1
COG1508,1,1,1
COG0848,1,1,1
COG0811,1,1,1
COG0252,1,1,1
COG0084,1,1,1
COG4995,1,1,1
COG2355,1,1,1
COG1670,1,1,1
COG1305,1,1,1
COG0223,1,1,1
COG4675,1,1,1
COG4886,1,1,1
COG2340,1,1,1
COG0022,1,1,1
COG0115,1,1,1
COG0508,1,1,1
COG0663,1,1,1
COG1024,1,1,1
COG1012,1,1,1
COG0183,1,1,1
COG2050,1,1,1
COG1250,1,1,1
COG2151,1,1,1
COG3396,1,1,1
COG3460,1,1,1
COG1018,1,1,1
COG1309,1,1,1
COG3187,1,1,1
COG3186,1,1,1
COG0013,1,1,1
COG0739,1,1,1
COG2843,1,1,1
COG0789,1,1,1
COG1704,0,1,1
COG3762,0,1,1
COG1512,0,1,1
COG1160,1,1,1
COG3391,1,1,1
COG1159,1,1,1
COG2885,1,1,1
COG1115,1,1,1
COG0566,1,1,1
COG2849,1,1,1
COG3409,1,1,1
COG0644,1,1,1
COG2986,1,1,1
COG1028,1,1,1
COG0304,1,1,1
COG0236,1,1,1
COG4261,1,1,1
COG0332,1,1,1
COG0764,1,1,1
COG1131,1,1,1
COG0842,1,1,1
COG0824,1,1,1
COG2834,1,1,1
COG0463,1,1,1
COG4258,0,1,0
COG1233,1,1,1
COG4927,1,1,1
COG1541,1,1,1
COG0384,1,1,1
COG0784,1,1,1
COG4251,1,1,1
COG3209,1,1,1
COG1525,0,1,0
COG1813,0,1,1
COG4974,1,1,1
COG2003,1,1,1
COG3325,0,1,1
COG4783,1,1,1
COG2244,1,1,1
COG0438,1,1,1
COG3934,1,1,1
COG5617,1,1,1
COG2819,1,1,1
COG4773,1,1,0
COG3182,1,1,1
COG2207,1,1,1
COG0596,1,1,1
COG0664,1,1,1
COG1304,0,1,0
COG3501,1,1,0
COG4946,1,1,1
COG1610,1,1,1
COG0206,1,1,1
COG0849,1,1,1
COG0773,1,1,1
COG0707,1,1,1
COG0772,1,1,1
COG0771,1,1,1
COG0472,1,1,1
COG0769,1,1,1
COG0768,1,1,1
COG0275,1,1,1
COG2001,1,1,1
COG0218,1,1,1
COG0171,1,1,1
COG0358,1,1,1
COG3979,1,1,1
COG0142,1,1,1
COG0820,1,1,1
COG0809,1,1,1
COG0128,1,1,1
COG1694,1,1,1
COG1490,1,1,1
COG1162,1,1,1
COG2876,1,1,1
COG0287,1,1,1
COG0436,1,1,1
COG0077,1,1,1
COG0156,1,1,1
COG0451,1,1,1
COG1522,1,1,1
COG0642,1,1,1
COG0685,1,1,1
COG1410,1,1,1
COG0646,1,1,1
COG0633,1,1,1
COG0492,1,1,1
COG1648,1,1,1
COG0007,1,1,1
COG0155,1,1,1
COG0464,1,1,1
COG0600,1,1,1
COG1116,1,1,1
COG3487,1,1,1
COG3488,1,1,1
COG3489,0,1,1
COG2426,0,1,1
COG3449,0,1,0
COG0350,1,1,1
COG3826,0,1,1
COG3145,1,1,1
COG4319,0,1,1
COG0583,1,1,1
COG3591,1,1,1
COG0486,1,1,1
COG3296,1,1,1
COG0004,1,1,1
COG0347,1,1,1
COG0069,1,1,1
COG0493,1,1,1
COG1385,1,1,1
COG0533,1,1,1
COG0205,1,1,1
COG4757,1,1,1
COG3291,1,1,1
COG3256,0,1,1
COG1335,1,1,1
COG1942,0,1,1
COG1678,1,1,1
COG0776,1,1,1
COG0514,1,1,1
COG3911,1,1,1
COG2080,1,1,1
COG1529,1,1,1
COG1975,1,1,1
COG2068,1,1,1
COG0766,1,1,1
COG0542,1,1,1
COG0188,1,1,1
COG0270,1,1,0
COG1570,0,1,0
COG1020,1,1,1
COG3321,1,1,1
COG3208,1,1,0
COG3342,1,1,1
COG4680,0,1,0
COG5499,0,1,0
COG4186,0,1,0
COG3401,0,1,1
COG2963,0,1,0
COG2801,1,1,0
COG3469,0,1,1
COG0488,1,1,1
COG0665,1,1,1
COG1262,1,1,1
COG0010,1,1,1
COG0550,1,1,1
COG0621,1,1,1
COG2204,1,1,1
COG0234,1,1,1
COG0459,1,1,1
COG3800,1,1,1
COG2225,1,1,1
COG2224,1,1,1
COG2173,1,1,1
COG1956,1,1,1
COG1087,1,1,1
COG0760,1,1,1
COG3714,0,1,1
COG1253,1,1,1
COG1521,1,1,1
COG0044,1,1,1
COG1587,1,1,1
COG1866,1,1,1
COG2363,1,1,1
COG1748,1,1,1
COG2738,1,1,1
COG0686,1,1,1
COG4095,0,1,0
COG0495,1,1,1
COG1893,1,1,1
COG2177,1,1,1
COG0682,1,1,1
COG1968,1,1,1
COG0130,1,1,1
COG2818,1,1,1
COG0035,1,1,1
COG2360,1,1,1
COG1853,1,1,1
COG0537,1,1,1
COG0782,1,1,1
COG1060,1,1,1
COG2022,1,1,1
COG0352,1,1,1
COG0351,1,1,1
COG0422,1,1,1
COG1186,1,1,1
COG3172,1,1,1
COG3201,1,1,1
COG2091,1,1,1
COG0499,1,1,1
COG0211,1,1,1
COG0261,1,1,1
COG0697,1,1,1
COG0629,1,1,1
COG1194,1,1,1
COG1530,1,1,1
COG2137,1,1,1
COG0793,1,1,1
COG0502,1,1,1
COG0161,1,1,1
COG0132,1,1,1
COG1506,1,1,1
COG0355,1,1,1
COG0055,1,1,1
COG0449,1,1,1
COG0297,1,1,1
COG0414,1,1,1
COG0853,1,1,1
COG0392,1,1,1
COG1066,1,1,1
COG0667,1,1,1
COG0456,1,1,1
COG0534,1,1,1
COG0720,1,1,1
COG2908,1,1,1
COG3842,1,1,1
COG1505,1,1,1
COG0136,1,1,1
COG1970,1,1,1
COG0787,1,1,1
COG1435,1,1,1
COG0313,1,1,1
COG2128,1,1,1
COG0608,1,1,1
COG2175,0,1,1
COG1271,1,1,1
COG1294,1,1,1
COG2350,0,1,1
COG3525,0,1,1
COG2971,1,1,1
COG0363,1,1,1
COG0591,1,1,1
COG4299,0,1,1
COG1360,1,1,1
COG2860,1,1,1
COG1983,1,1,1
COG1695,1,1,1
COG2013,1,1,1
COG1721,1,1,1
COG0714,1,1,1
COG1300,1,1,1
COG1714,1,1,1
COG0652,1,1,1
COG0494,1,1,1
COG0204,1,1,1
COG1252,1,1,1
COG2032,1,1,1
COG1765,1,1,1
COG2982,0,1,1
COG1738,1,1,1
COG1428,1,1,1
COG0249,1,1,1
COG1053,1,1,1
COG4638,0,1,0
COG0518,0,1,1
COG2273,1,1,0
COG1404,1,1,1
COG1357,1,1,1
COG0778,1,1,1
COG2852,1,1,1
COG2932,1,1,1
COG4850,1,1,1
COG3808,1,1,1
COG0221,1,1,1
COG2086,1,1,1
COG2025,1,1,1
COG1259,1,1,1
COG1972,1,1,1
COG0207,1,1,1
COG0810,1,1,1
COG4301,1,1,1
COG2343,1,1,1
COG0031,1,1,1
COG0520,1,1,1
COG0262,1,1,1
COG3001,1,1,1
COG0331,1,1,1
COG2949,0,1,0
COG1171,1,1,1
COG1228,1,1,1
COG1352,0,1,0
COG0553,1,1,1
COG0399,1,1,1
COG1519,1,1,1
COG5587,1,1,1
COG3439,1,1,1
COG3503,1,1,1
COG0192,1,1,1
COG2873,1,1,1
COG2021,1,1,1
COG0527,1,1,1
COG0626,1,1,1
COG3205,1,1,1
COG0175,1,1,1
COG1943,0,1,0
COG2804,1,1,1
COG1450,1,1,1
COG1459,1,1,1
COG3274,0,1,0
COG1100,1,1,1
COG0158,1,1,1
COG3176,1,1,1
COG0394,1,1,1
COG1247,1,1,1
COG0640,1,1,1
COG2314,1,1,1
COG3152,1,1,0
COG0346,1,1,1
COG2909,0,1,1
COG4339,1,1,1
COG0111,1,1,1
COG0500,0,1,1
COG2239,1,1,1
COG0030,1,1,1
COG5010,1,1,1
COG0172,1,1,1
COG0196,1,1,1
COG0193,1,1,1
COG1825,1,1,1
COG0462,1,1,1
COG4823,0,1,0
COG3505,0,1,0
COG1484,0,1,0
COG0515,0,1,0
COG2259,1,1,1
COG1182,1,1,1
COG0076,1,1,1
COG1917,1,1,1
COG0735,1,1,1
COG2131,1,1,1
COG2095,1,1,1
COG0208,1,1,1
COG0209,1,1,1
COG0232,1,1,1
COG3193,1,1,1
COG0580,1,1,1
COG1154,1,1,1
COG0590,1,1,1
COG2905,1,1,0
COG0847,1,1,1
COG1278,1,1,1
COG0038,1,1,1
COG0173,1,1,1
COG3920,0,1,1
COG3600,0,1,0
COG3177,0,1,0
COG1858,1,1,1
COG1114,1,1,1
COG0611,1,1,1
COG5276,1,1,1
COG0316,1,1,1
COG0719,1,1,1
COG0396,1,1,1
COG2166,1,1,1
COG2764,1,1,1
COG0006,1,1,1
COG4753,1,1,1
COG0469,1,1,1
COG0571,1,1,1
COG0299,1,1,1
COG3341,1,1,1
COG0524,1,1,1
COG0034,1,1,1
COG0605,1,1,1
COG1074,1,1,1
COG3857,1,1,1
COG1207,1,1,0
COG0432,1,1,1
COG0561,1,1,1
COG1234,1,1,1
COG0481,1,1,1
COG0042,1,1,1
COG4591,1,1,1
COG0858,1,1,1
COG0307,1,1,1
COG1995,1,1,1
COG1399,1,1,1
COG0511,1,1,1
COG0439,0,1,1
COG0744,1,1,1
COG0587,1,1,1
COG0389,1,1,1
COG2103,1,1,1
COG1878,1,1,1
COG1607,1,1,1
COG1322,1,1,1
COG1120,1,1,1
COG1277,1,1,1
COG1359,1,1,1
COG1912,1,1,1
COG1702,1,1,1
COG0152,1,1,1
COG4447,1,1,1
COG1801,1,1,1
COG0513,1,1,1
COG2234,1,1,1
COG2120,1,1,1
COG0450,1,1,1
COG0526,1,1,1
COG2077,1,1,1
COG0818,1,1,1
COG1674,1,1,1
COG0795,1,1,1
COG0108,1,1,1
COG2838,1,1,1
COG0335,1,1,1
COG3712,1,1,1
COG0471,1,1,1
COG0336,1,1,1
COG0057,1,1,1
COG0265,1,1,1
COG0253,1,1,1
COG1559,1,1,1
COG0593,1,1,1
COG1739,1,1,1
COG1011,1,1,1
COG0117,1,1,1
COG2890,1,1,1
COG1611,1,1,1
COG0272,1,1,1
COG0329,1,1,1
COG1729,1,1,1
COG0452,1,1,1
COG0497,1,1,1
COG0623,1,1,1
COG1215,1,1,1
COG4856,0,1,0
COG0237,1,1,1
COG0745,1,1,1
COG0324,1,1,1
COG1226,1,1,0
COG2176,1,1,1
COG0325,1,1,1
COG4198,1,1,1
COG0673,1,1,1
COG2518,1,1,1
COG0691,1,1,1
COG0406,1,1,1
COG1200,1,1,1
COG0308,1,1,1
COG4667,1,1,1
COG1473,1,1,1
COG1416,0,1,1
COG0210,1,1,1
COG0009,1,1,1
COG5285,1,1,1
COG2162,0,1,1
COG2720,0,1,0
COG1733,1,1,1
COG0388,1,1,1
COG1881,1,1,1
COG3448,0,1,0
COG1017,1,1,0
COG1794,1,1,1
COG2226,1,1,1
COG2820,1,1,1
COG0023,1,1,1
COG3491,1,1,1
COG0677,1,1,1
COG1045,1,1,1
COG1696,1,1,1
COG0367,1,1,1
COG3420,0,1,1
COG2148,1,1,1
COG0110,1,1,1
COG1086,1,1,1
COG1596,1,1,1
COG0489,1,1,1
COG4464,1,1,1
COG0466,1,1,1
COG0040,1,1,1
COG0141,1,1,1
COG0079,1,1,1
COG0131,1,1,1
COG0118,1,1,1
COG0106,1,1,1
COG0107,1,1,1
COG0139,1,1,0
COG0539,1,1,1
COG3564,1,1,1
COG2065,1,1,1
COG0540,1,1,1
COG4232,1,1,1
COG0259,1,1,1
COG2062,1,1,1
COG0855,1,1,1
COG0248,1,1,1
COG0019,1,1,1
COG2346,1,1,1
COG0179,1,1,1
COG0112,1,1,1
COG0597,1,1,1
COG1249,1,1,1
COG1132,1,1,1
COG1988,1,1,1
COG1432,1,1,1
COG0431,1,1,1
COG0147,1,1,1
COG0037,1,1,1
COG2936,1,1,1
COG4805,1,1,1
COG1649,0,1,1
COG2274,1,1,1
COG0366,1,1,1
COG1609,1,1,1
COG2211,1,1,1
COG0637,1,1,1
COG1554,1,1,1
COG5642,1,1,1
COG5654,1,1,1
COG3590,1,1,1
COG0606,1,1,1
COG1914,1,1,1
COG1540,1,1,1
COG2049,1,1,1
COG1984,1,1,1
COG0129,1,1,1
COG0028,1,1,1
COG0440,1,1,1
COG0059,1,1,1
COG0137,1,1,1
COG0002,1,1,1
COG0345,1,1,1
COG4992,1,1,1
COG0014,1,1,0
COG0263,1,1,0
COG0078,1,1,1
COG0548,1,1,1
COG0624,1,1,1
COG0165,1,1,1
COG4799,1,1,1
COG4770,1,1,1
COG3437,1,1,1
COG2201,1,1,0
COG1301,1,1,1
COG0400,1,1,1
COG3602,1,1,1
COG1049,1,1,0
COG3485,1,1,1
COG1280,1,1,1
COG3668,0,1,0
COG3609,0,1,0
COG3666,0,1,0
COG3547,1,1,0
COG3320,0,1,0
COG0250,1,1,1
COG1816,1,1,1
COG1957,0,1,1
COG4221,1,1,1
COG0125,0,1,0
COG0369,1,1,1
COG4278,0,1,1
COG4264,1,1,1
COG3486,1,1,1
COG0716,0,1,1
COG5266,0,1,1
COG4693,0,1,0
COG3206,0,1,1
COG1817,0,1,1
COG2348,0,1,1
COG0189,1,1,1
COG2335,1,1,1
COG0791,1,1,1
COG3975,1,1,1
COG1051,1,1,1
COG0516,1,1,1
COG1492,1,1,1
COG1270,1,1,1
COG3411,1,1,1
COG2138,1,1,1
COG0790,0,1,0
COG4538,1,1,1
COG3832,1,1,1
COG1429,1,1,1
COG1797,1,1,1
COG1239,1,1,1
COG2827,1,1,1
COG2755,1,1,1
COG1038,1,1,1
COG4663,1,1,1
COG4664,1,1,1
COG4665,1,1,1
COG3022,1,1,1
COG0564,1,1,1
COG2815,1,1,1
COG1181,1,1,1
COG0669,1,1,1
COG3708,1,1,1
COG0659,1,1,1
COG3858,1,1,1
COG1652,1,1,1
COG0461,1,1,1
COG0340,1,1,1
COG0799,1,1,1
COG0465,1,1,1
COG1556,0,1,0
COG0575,1,1,1
COG0688,1,1,1
COG0525,1,1,1
COG0812,1,1,1
COG0320,1,1,1
COG1663,1,1,1
COG0327,1,1,1
COG1579,1,1,1
COG0268,1,1,1
COG0442,1,1,1
COG0302,1,1,1
COG0215,1,1,1
COG0216,1,1,1
COG3104,1,1,1
COG0225,1,1,1
COG0150,1,1,1
