,Genome,PF10417.10,PF00389.31,PF02826.20,PF00198.24,PF16078.6,PF05635.12,PF03171.21,PF13532.7,PF13640.7,PF13239.7,PF06052.13,PF01073.20,PF00725.23,PF02737.19,PF03061.23,PF13279.7,PF01812.21,PF09038.11,PF01367.21,PF02739.17,PF02872.19,PF02096.21,PF07698.12,PF07696.12,PF07695.12,PF07697.12,PF14402.7,PF00207.23,PF07703.15,PF00004.30,PF12846.8,PF13173.7,PF13175.7,PF13191.7,PF13207.7,PF13238.7,PF13245.7,PF07724.15,PF13304.7,PF13401.7,PF13476.7,PF13479.7,PF13481.7,PF13500.7,PF13514.7,PF13521.7,PF13555.7,PF07726.12,PF13604.7,PF13614.7,PF13671.7,PF07728.15,PF12775.8,PF16193.6,PF17863.2,PF17862.2,PF17864.2,PF17866.2,PF17871.2,PF08298.12,PF03417.17,PF00696.29,PF00324.22,PF13520.7,PF00950.18,PF03109.17,PF01061.25,PF12679.8,PF12698.8,PF12730.8,PF13346.7,PF00664.24,PF00005.28,PF09822.10,PF16326.6,PF12848.8,PF00561.21,PF02230.17,PF07859.14,PF12697.8,PF08843.12,PF07751.12,PF03992.17,PF16177.6,PF00887.20,PF03255.15,PF00871.18,PF00583.26,PF13673.8,PF13720.7,PF00797.18,PF13302.8,PF13420.8,PF13444.7,PF13480.8,PF13508.8,PF13523.7,PF13527.8,PF14542.7,PF03767.15,PF12689.8,PF00330.21,PF06434.14,PF11791.9,PF00694.20,PF01648.21,PF04336.13,PF08545.11,PF08541.11,PF00873.20,PF01842.26,PF00022.20,PF10000.10,PF13291.7,PF13840.7,PF01643.18,PF00441.25,PF08028.12,PF02770.20,PF02771.17,PF01553.22,PF00698.22,PF01757.23,PF02805.17,PF03352.14,PF00709.22,PF08240.13,PF00106.26,PF13561.7,PF00107.27,PF13602.7,PF00406.23,PF05221.18,PF00670.22,PF00578.22,PF13911.7,PF08327.12,PF01594.17,PF01808.19,PF04548.17,PF01987.18,PF00731.21,PF00586.25,PF02769.23,PF00490.22,PF01262.22,PF05222.16,PF00842.22,PF01168.21,PF04326.15,PF00171.23,PF01263.21,PF00248.22,PF02738.19,PF13372.7,PF04864.14,PF00128.25,PF02806.19,PF10369.10,PF01425.22,PF01520.19,PF02274.18,PF01979.21,PF04909.15,PF07969.12,PF00155.22,PF00202.22,PF01063.20,PF00266.20,PF12897.8,PF01593.25,PF00909.22,PF00501.29,PF13193.7,PF14535.7,PF16561.6,PF05195.17,PF12895.8,PF12894.8,PF00023.31,PF12796.8,PF13606.7,PF13637.7,PF13857.7,PF03702.15,PF04715.14,PF08264.14,PF02558.17,PF08546.12,PF02424.16,PF01636.24,PF01261.25,PF02311.20,PF06719.14,PF00025.22,PF00491.22,PF00764.20,PF03485.17,PF17293.3,PF02374.16,PF17886.2,PF03960.16,PF01731.21,PF08328.12,PF13502.7,PF01037.22,PF00733.22,PF00710.21,PF01112.19,PF17763.2,PF05118.16,PF02261.17,PF01177.23,PF13650.7,PF01400.25,PF04952.15,PF11700.9,PF03477.17,PF02222.23,PF08442.11,PF02655.15,PF13535.7,PF13549.7,PF00231.20,PF00119.21,PF00006.26,PF00306.28,PF02874.24,PF00430.19,PF00137.22,PF02823.17,PF06745.14,PF14397.7,PF15632.7,PF14398.7,PF01171.21,PF11583.9,PF05448.13,PF00962.23,PF08451.12,PF02310.20,PF02607.18,PF03483.18,PF03484.16,PF02673.19,PF04519.14,PF00308.19,PF08299.12,PF00216.22,PF02397.17,PF01145.26,PF13421.7,PF07584.12,PF13584.7,PF06968.14,PF01027.21,PF07642.12,PF02028.18,PF01869.21,PF14439.7,PF01062.22,PF00144.25,PF13354.7,PF01212.22,PF13229.7,PF02369.17,PF19078.1,PF13205.7,PF17957.2,PF00351.22,PF02785.20,PF00289.23,PF00364.23,PF13533.7,PF06832.13,PF04940.13,PF17973.2,PF11974.9,PF17972.2,PF17962.2,PF02012.21,PF13088.7,PF04972.18,PF00528.23,PF03099.20,PF05525.14,PF00533.27,PF10079.10,PF04450.13,PF03092.17,PF14399.7,PF17892.2,PF03160.15,PF00188.27,PF02543.16,PF13715.7,PF01039.23,PF13620.7,PF01256.18
0,Aq_sp_Aq107,1,5,11,4,1,2,1,1,3,7,1,12,3,3,10,4,1,0,1,1,1,1,1,0,1,1,0,2,2,21,1,5,6,10,1,13,6,5,34,9,6,4,3,4,1,3,10,4,5,3,4,21,4,1,5,1,1,1,3,1,1,7,0,0,2,1,1,5,5,3,2,7,47,1,2,5,37,5,3,18,0,0,1,1,1,1,1,26,17,1,0,13,9,1,3,20,4,0,4,0,0,4,1,1,3,3,1,6,5,6,2,2,1,1,2,3,7,5,7,7,6,4,3,1,1,1,2,30,25,4,4,1,1,1,23,0,4,1,1,1,2,1,1,3,1,2,3,1,2,1,7,2,4,1,1,1,12,1,1,1,2,2,14,2,12,26,6,3,19,0,9,1,15,10,0,1,1,12,0,5,6,6,6,6,1,2,4,2,1,1,3,6,6,1,4,3,1,1,2,2,1,2,2,1,2,8,1,1,0,1,0,1,3,5,6,2,1,1,6,1,5,1,1,1,1,3,1,2,1,1,1,2,2,1,1,1,0,4,1,0,6,2,1,1,1,1,2,1,2,5,7,2,3,1,2,1,1,0,1,0,4,33,1,8,12,0,3,3,9,1,3,3,11,12,3,3,2,1,1,1,6,3,0,5,2,1,1,1,0,0,1,2,2,1,2,75,4,60,1
1,Aq_sp_Aq135,2,3,7,4,1,1,1,1,2,4,2,11,3,3,10,5,1,1,1,1,1,1,1,2,2,1,1,2,2,18,1,8,5,11,2,14,4,4,26,13,4,2,3,4,1,4,8,4,4,3,2,20,3,1,4,1,1,1,3,1,1,7,1,1,2,1,1,10,7,5,3,6,38,1,1,5,20,4,4,16,1,1,2,1,1,1,1,28,21,1,2,14,11,1,3,22,2,3,3,1,1,3,1,1,2,3,1,3,4,7,4,2,1,1,3,4,5,5,5,4,6,3,3,1,2,1,1,25,21,1,1,2,1,1,22,1,2,1,1,1,1,1,1,3,1,3,3,1,3,1,11,1,2,1,2,1,5,1,1,1,1,1,9,1,7,25,6,3,19,2,4,1,18,11,1,1,1,8,1,7,7,7,7,6,1,2,4,1,1,2,2,1,8,1,3,2,1,1,1,1,1,2,1,1,1,8,4,1,1,1,1,1,2,2,5,1,1,1,6,1,7,3,2,1,1,3,1,2,1,1,1,2,3,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,4,3,5,2,3,1,2,1,2,1,2,1,2,29,1,9,7,1,1,1,7,1,3,3,11,12,3,3,2,1,1,1,7,4,1,4,1,1,1,1,1,1,1,1,1,2,1,72,4,65,2
2,Aq_sp_Aq349,3,3,8,4,1,1,1,1,2,4,1,12,3,3,12,6,1,0,1,1,1,1,1,1,2,1,1,2,2,17,1,6,10,8,1,10,5,3,43,12,9,2,3,4,1,3,8,4,4,4,3,19,2,1,5,1,1,1,2,1,1,6,0,0,2,0,2,10,8,6,1,8,55,1,1,5,37,3,3,22,0,0,3,1,0,1,1,50,40,1,1,22,14,1,3,40,3,5,5,0,1,2,0,0,2,3,1,5,5,7,4,2,1,1,3,4,4,4,4,4,6,3,5,0,1,1,2,29,25,3,3,1,1,1,19,0,4,1,1,1,1,1,1,3,1,3,3,1,3,1,11,2,3,1,2,1,6,1,1,1,1,1,17,2,15,29,9,3,22,2,7,1,7,1,1,1,2,15,0,12,13,11,12,12,1,2,4,2,2,2,2,1,14,0,4,3,1,1,0,2,2,2,3,1,1,13,3,1,2,1,1,1,3,2,12,2,1,2,6,1,7,2,1,1,1,3,1,2,1,1,1,2,2,1,2,1,0,2,1,0,3,2,1,1,1,1,1,1,2,4,7,2,3,1,2,1,2,0,1,0,1,52,2,12,4,0,1,2,6,1,3,3,11,15,4,1,2,1,1,1,7,3,1,4,2,1,1,1,1,1,1,5,3,3,1,89,4,77,1
3,GCA_002714325.1_ASM271432v1,1,2,3,3,1,0,1,1,0,0,1,7,3,3,4,1,0,0,1,1,0,1,0,0,1,0,0,0,0,9,1,0,0,9,1,6,4,2,11,5,3,0,5,0,0,1,5,3,7,3,5,9,1,1,2,1,1,0,1,1,0,2,1,0,0,0,0,1,2,1,0,3,20,1,2,2,5,0,3,5,0,0,2,0,0,1,0,4,4,1,0,1,0,0,3,4,0,2,1,0,0,1,1,1,0,0,1,2,2,2,1,0,0,0,1,0,4,4,4,4,4,1,0,0,0,0,0,10,10,0,0,1,0,0,9,2,0,1,1,1,1,2,3,4,0,3,2,1,2,1,4,0,0,0,0,0,4,0,0,0,1,2,6,1,4,8,4,2,6,0,2,1,2,0,0,7,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,4,1,2,1,0,1,0,0,0,0,1,1,5,1,2,1,0,1,0,2,0,1,0,0,1,3,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,2,0,1,1,0,1,0,0,0,0,1,2,0,3,1,0,0,1,0,1,2,2,6,5,0,0,0,0,0,0,3,2,0,1,2,0,1,1,0,0,0,0,3,0,0,17,4,14,0
4,GCA_002714325.1_ASM271432v1_genomic,1,2,3,3,1,0,1,1,0,0,1,7,3,3,4,1,0,0,1,1,0,1,0,0,1,0,0,0,0,9,1,0,0,9,1,6,4,2,11,5,3,0,5,0,0,1,5,3,7,3,5,9,1,1,2,1,1,0,1,1,0,2,1,0,0,0,0,1,2,1,0,3,20,1,2,2,5,0,3,5,0,0,2,0,0,1,0,4,4,1,0,1,0,0,3,4,0,2,1,0,0,1,1,1,0,0,1,2,2,2,1,0,0,0,1,0,4,4,4,4,4,1,0,0,0,0,0,10,10,0,0,1,0,0,9,2,0,1,1,1,1,2,3,4,0,3,2,1,2,1,4,0,0,0,0,0,4,0,0,0,1,2,6,1,4,8,4,2,6,0,2,1,2,0,0,7,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,4,1,2,1,0,1,0,0,0,0,1,1,5,1,2,1,0,1,0,2,0,1,0,0,1,3,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,2,0,1,1,0,1,0,0,0,0,1,2,0,3,1,0,0,1,0,1,2,2,6,5,0,0,0,0,0,0,3,2,0,1,2,0,1,1,0,0,0,0,3,0,0,17,4,14,0
